% Magnetic field model coefficients
% nmax:  15
% epoch: 2013.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4849.7973             -27.8508               1.4642
    1     0          -29462.6572              11.3255              -0.0359
    1     1           -1536.7459              17.2790               0.7319
    2    -2            -613.3070             -14.2816              -0.1378
    2    -1           -2791.7808             -26.6413              -0.4073
    2     0           -2426.7500              -9.9465               0.2961
    2     1            3019.3068              -3.3219              -0.1607
    2     2            1672.9282               1.7123               0.0723
    3    -3            -540.9648               0.4051               1.1489
    3    -2             245.7627              -0.8767               0.5415
    3    -1            -131.3232               8.4092              -0.5094
    3     0            1343.9287               2.9625               0.5770
    3     1           -2341.8367              -4.9596              -0.2572
    3     2            1227.2383              -1.0124               0.2532
    3     3             602.4439             -10.2665              -0.0515
    4    -4            -319.5810              -4.3178              -0.7906
    4    -3             174.4140               3.3651              -0.1500
    4    -2            -199.1305               4.9573               0.4767
    4    -1             284.9241              -0.6083              -0.1436
    4     0             910.0727              -1.5454              -0.0460
    4     1             813.3314               0.4776              -0.3902
    4     2             138.5099              -9.0477              -0.0448
    4     3            -342.9120               4.1563              -0.2638
    4     4              78.9794              -4.1056              -0.2709
    5    -5             100.1748              -0.1292               0.1495
    5    -4               9.2192               3.3868               0.0106
    5    -3            -116.9803              -0.7518              -0.5350
    5    -2             193.6982               1.6067               0.0100
    5    -1              46.3072               0.5558              -0.0204
    5     0            -232.0363              -0.5709              -0.0250
    5     1             358.9404               0.5470              -0.0080
    5     2             194.9363              -1.3261               0.1179
    5     3            -140.8014              -0.1064               0.0343
    5     4            -160.0017               1.2684               0.0049
    5     5              -3.8627               3.4440               0.8427
    6    -6              60.4520               1.0818              -0.0678
    6    -5               5.5121               0.8720               0.0703
    6    -4             -66.9802               0.0927               0.1607
    6    -3              60.1111              -0.6396              -0.0506
    6    -2              37.5064              -2.1959               0.0214
    6    -1             -21.2391               0.1812               0.1099
    6     0              71.1486              -0.8331              -0.1528
    6     1              68.2880              -0.3145              -0.0378
    6     2              74.0936              -0.5981              -0.0286
    6     3            -134.4155               2.2462               0.0612
