% Magnetic field model coefficients
% nmax:  15
% epoch: 2014.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4822.6786             -26.3866               0.0000
    1     0          -29451.3496              11.2896               0.0000
    1     1           -1519.1009              18.0109               0.0000
    2    -2            -627.6576             -14.4195               0.0000
    2    -1           -2818.6258             -27.0486               0.0000
    2     0           -2436.5484              -9.6504               0.0000
    2     1            3015.9046              -3.4826               0.0000
    2     2            1674.6766               1.7846               0.0000
    3    -3            -539.9853               1.5540               0.0000
    3    -2             245.1568              -0.3352               0.0000
    3    -1            -123.1688               7.8997               0.0000
    3     0            1347.1796               3.5394               0.0000
    3     1           -2346.9249              -5.2168               0.0000
    3     2            1226.3525              -0.7592               0.0000
    3     3             592.1516             -10.3180               0.0000
    4    -4            -324.2941              -5.1084               0.0000
    4    -3             177.7041               3.2151               0.0000
    4    -2            -193.9349               5.4339               0.0000
    4    -1             284.2440              -0.7519               0.0000
    4     0             908.5043              -1.5914               0.0000
    4     1             813.6139               0.0874               0.0000
    4     2             129.4398              -9.0925               0.0000
    4     3            -338.8876               3.8925               0.0000
    4     4              74.7384              -4.3764               0.0000
    5    -5             100.1203               0.0203               0.0000
    5    -4              12.6113               3.3974               0.0000
    5    -3            -117.9996              -1.2868               0.0000
    5    -2             195.3099               1.6167               0.0000
    5    -1              46.8528               0.5354               0.0000
    5     0            -232.6197              -0.5959               0.0000
    5     1             359.4834               0.5390               0.0000
    5     2             193.6691              -1.2082               0.0000
    5     3            -140.8907              -0.0721               0.0000
    5     4            -158.7308               1.2733               0.0000
    5     5               0.0027               4.2867               0.0000
    6    -6              61.4999               1.0140               0.0000
    6    -5               6.4193               0.9423               0.0000
    6    -4             -66.8071               0.2534               0.0000
    6    -3              59.4463              -0.6901               0.0000
    6    -2              35.3212              -2.1745               0.0000
    6    -1             -21.0030               0.2911               0.0000
    6     0              70.2391              -0.9859               0.0000
    6     1              67.9546              -0.3523               0.0000
    6     2              73.4812              -0.6267               0.0000
    6     3            -132.1387               2.3074               0.0000
    6     4             -27.7907              -1.1754               0.0000
    6     5              12.7724               0.3887               0.0000
    6     6             -72.3477               1.4542               0.0000
    7    -7              -2.0091              -0.3168               0.0000
    7    -6             -27.4618              -0.0023               0.0000
    7    -5               4.1605              -0.8826               0.0000
    7    -4              24.6642              -0.2224               0.0000
    7    -3               5.8037              -0.2070               0.0000
    7    -2             -19.9085               0.4292               0.0000
    7    -1             -54.8362               0.7067               0.0000
    7     0              81.1067               0.2261               0.0000
    7     1             -76.0224              -0.0330               0.0000
    7     2              -6.2692              -0.4794               0.0000
    7     3              50.5321               1.3378               0.0000
    7     4              14.8755               0.2086               0.0000
    7     5              10.0383              -0.7082               0.0000
    7     6              -1.9529              -0.8549               0.0000
    7     7               6.5180               0.1651               0.0000
    8    -8               2.0244               0.1748               0.0000
    8    -7              -9.4290               0.2925               0.0000
    8    -6               5.8389              -0.1845               0.0000
    8    -5              16.3649              -0.1625               0.0000
    8    -4             -15.1430               0.5633               0.0000
    8    -3              13.0036               0.2107               0.0000
    8    -2             -18.7157               0.4560               0.0000
    8    -1              10.3388              -0.2437               0.0000
    8     0              24.0650              -0.3015               0.0000
    8     1               8.7909               0.0465               0.0000
    8     2             -16.2996              -0.5264               0.0000
    8     3              -3.6382               0.3964               0.0000
    8     4             -20.4149              -0.2181               0.0000
