% Magnetic field model coefficients
% nmax:  15
% epoch: 2001.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            5164.4104             -20.7242               0.0000
    1     0          -29601.9871              12.9021               0.0000
    1     1           -1716.2312              10.8728               0.0000
    2    -2            -468.4782             -11.4799               0.0000
    2    -1           -2503.7591             -22.8135               0.0000
    2     0           -2281.7432             -14.5630               0.0000
    2     1            3065.3011              -3.5168               0.0000
    2     2            1667.6852              -3.8971               0.0000
    3    -3            -500.2328              -7.9161               0.0000
    3    -2             289.6236              -4.5797               0.0000
    3    -1            -221.4199               5.3321               0.0000
    3     0            1337.6004              -1.0071               0.0000
    3     1           -2291.9229              -3.3850               0.0000
    3     2            1251.0285              -1.0134               0.0000
    3     3             705.3800              -8.1738               0.0000
    4    -4            -304.1817              -0.0301               0.0000
    4    -3             124.6524               5.2537               0.0000
    4    -2            -230.9496               0.9141               0.0000
    4    -1             274.5072               1.3106               0.0000
    4     0             929.4461              -2.1756               0.0000
    4     1             788.9067               2.2473               0.0000
    4     2             241.7997              -7.6834               0.0000
    4     3            -398.9431               4.4687               0.0000
    4     4             109.3208              -1.8915               0.0000
    5    -5             106.0448              -0.4349               0.0000
    5    -4             -35.6734               3.9072               0.0000
    5    -3            -131.2146               2.2637               0.0000
    5    -2             173.3408               1.4943               0.0000
    5    -1              43.2352               0.0954               0.0000
    5     0            -219.7045              -2.0301               0.0000
    5     1             351.9817               0.5743               0.0000
    5     2             219.6986              -2.5337               0.0000
    5     3            -131.7899              -1.1233               0.0000
    5     4            -168.6268               0.0681               0.0000
    5     5             -12.8935              -0.2184               0.0000
    6    -6              45.5294               1.2491               0.0000
    6    -5               0.5316              -0.1503               0.0000
    6    -4             -61.6766              -0.4427               0.0000
    6    -3              64.8661              -0.1705               0.0000
    6    -2              62.0131              -1.8332               0.0000
    6    -1             -17.7820              -1.0364               0.0000
    6     0              73.0060               0.2922               0.0000
    6     1              68.4018               0.4841               0.0000
    6     2              75.1669               0.4414               0.0000
    6     3            -159.0783               2.0041               0.0000
    6     4              -7.3624              -1.8760               0.0000
    6     5              16.3327              -0.4437               0.0000
    6     6             -89.7663               0.5905               0.0000
    7    -7              -5.5104               0.0385               0.0000
    7    -6             -25.4007              -0.2915               0.0000
    7    -5              14.1812              -0.8504               0.0000
    7    -4              24.3301               0.3238               0.0000
    7    -3               6.4493               0.0881               0.0000
    7    -2             -23.9669               0.3659               0.0000
    7    -1             -63.8108               0.7083               0.0000
    7     0              79.2390               0.1809               0.0000
    7     1             -74.0486              -0.1751               0.0000
    7     2              -0.3481              -0.1441               0.0000
    7     3              34.2943               1.0934               0.0000
    7     4               9.7920               0.6612               0.0000
    7     5               7.3406               0.5184               0.0000
    7     6               6.9919              -0.3322               0.0000
    7     7              -0.8143               0.6813               0.0000
    8    -8              -1.7591               0.4738               0.0000
    8    -7             -14.5459               0.4040               0.0000
    8    -6               8.6346              -0.2669               0.0000
    8    -5              15.5830               0.1468               0.0000
    8    -4             -21.1060               0.3366               0.0000
    8    -3               8.7473               0.3083               0.0000
    8    -2             -21.3765               0.1015               0.0000
    8    -1              11.9220              -0.2982               0.0000
    8     0              24.5219               0.0979               0.0000
    8     1               6.8526               0.1809               0.0000
    8     2              -9.7999              -0.5638               0.0000
    8     3              -7.6679               0.2406               0.0000
    8     4             -16.9688              -0.3523               0.0000
    8     5               9.2793               0.2061               0.0000
    8     6               7.3862               0.4873               0.0000
    8     7              -8.4927              -0.8277               0.0000
    8     8              -6.7272               0.4149               0.0000
    9    -9               5.0581               0.2718               0.0000
    9    -8              -8.2400               0.0471               0.0000
    9    -7               3.5265              -0.1386               0.0000
    9    -6               8.3398              -0.0336               0.0000
    9    -5              -8.4080               0.0485               0.0000
    9    -4              -6.3256              -0.1087               0.0000
    9    -3              12.4964               0.0450               0.0000
    9    -2              13.2032              -0.0829               0.0000
    9    -1             -19.7177              -0.0202               0.0000
    9     0               5.1936               0.0970               0.0000
    9     1               9.6427               0.0323               0.0000
    9     2               3.1562               0.1252               0.0000
    9     3              -8.1720               0.2771               0.0000
    9     4               6.0094              -0.2147               0.0000
    9     5              -9.3118              -0.3943               0.0000
    9     6              -1.5198               0.0906               0.0000
    9     7               9.1448              -0.0909               0.0000
    9     8              -4.7263              -0.5289               0.0000
