% Magnetic field model coefficients
% nmax:  15
% epoch: 2010.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4944.3172             -32.2434              -2.1984
    1     0          -29496.0025              11.4333               0.2225
    1     1           -1586.3373              15.0834              -1.4117
    2    -2            -575.7215             -13.8681              -0.4839
    2    -1           -2708.5204             -25.4195              -1.7981
    2     0           -2396.3299             -10.8348               0.5594
    2     1            3026.0644              -2.8398               0.7971
    2     2            1668.1632               1.4953              -0.9605
    3    -3            -536.8476              -3.0418              -0.7703
    3    -2             251.6958              -2.5012               0.2144
    3    -1            -160.2985               9.9375               0.7567
    3     0            1339.6074               1.2316               0.1234
    3     1           -2326.5868              -4.1879              -0.2107
    3     2            1232.0665              -1.7721               0.7515
    3     3             633.7642             -10.1121              -1.7251
    4    -4            -309.6801              -1.9458              -0.8609
    4    -3             164.4828               3.8150               0.0699
    4    -2            -211.0564               3.5273               0.3226
    4    -1             286.5327              -0.1775              -0.2663
    4     0             912.4722              -1.4075              -0.0115
    4     1             809.0236               1.6481              -0.2608
    4     2             166.5254              -8.9133               0.0462
    4     3            -356.7896               4.9476               0.3511
    4     4              89.4133              -3.2930              -0.9011
    5    -5             101.0159              -0.5779              -0.0180
    5    -4               0.0613               3.3550              -0.2441
    5    -3            -118.0957               0.8532               0.0070
    5    -2             189.0189               1.5769               0.0672
    5    -1              44.6737               0.6172               0.0855
    5     0            -231.0022              -0.4958               0.1058
    5     1             357.2824               0.5710              -0.0289
    5     2             200.2522              -1.6799              -0.0824
    5     3            -141.0971              -0.2095               0.3434
    5     4            -163.1962               1.2538               0.0075
    5     5              -7.9650               0.9160              -0.4340
    6    -6              55.3760               1.2853               0.5262
    6    -5               3.0245               0.6612              -0.0001
    6    -4             -66.2488              -0.3893               0.0697
    6    -3              61.5267              -0.4879              -0.0244
    6    -2              44.1369              -2.2600              -0.0281
    6    -1             -20.8788              -0.1486              -0.0933
    6     0              72.7337              -0.3748              -0.0188
    6     1              68.6167              -0.2012               0.0241
    6     2              75.9406              -0.5123              -0.1645
    6     3            -141.3672               2.0626              -0.0044
    6     4             -22.8381              -1.3984               0.1058
    6     5              13.0938              -0.0961              -0.0058
    6     6             -78.0399               1.2860              -0.3861
