% Magnetic field model coefficients
% nmax:  15
% epoch: 2015.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4796.3487             -26.2893               0.0000
    1     0          -29442.0375               8.0964               0.0000
    1     1           -1501.3995              17.5575               0.0000
    2    -2            -642.1731             -14.5711               0.0000
    2    -1           -2845.5374             -26.8830               0.0000
    2     0           -2446.4035              -9.8852               0.0000
    2     1            3012.2481              -3.8104               0.0000
    2     2            1676.4229               1.7625               0.0000
    3    -3            -538.5644               1.3479               0.0000
    3    -2             244.9341              -0.1580               0.0000
    3    -1            -115.2160               8.0094               0.0000
    3     0            1350.3102               2.8280               0.0000
    3     1           -2352.2103              -5.3460               0.0000
    3     2            1225.7354              -0.4944               0.0000
    3     3             581.7192             -10.4854               0.0000
    4    -4            -329.3120              -4.9860               0.0000
    4    -3             180.9058               3.1899               0.0000
    4    -2            -188.4529               5.4858               0.0000
    4    -1             283.4498              -0.8620               0.0000
    4     0             907.0873              -1.2963               0.0000
    4     1             813.5918              -0.0072               0.0000
    4     2             120.4822              -8.8503               0.0000
    4     3            -334.8887               4.0528               0.0000
    4     4              70.3297              -4.4257               0.0000
    5    -5             100.1453               0.0139               0.0000
    5    -4              16.0071               3.4292               0.0000
    5    -3            -119.2292              -1.2201               0.0000
    5    -2             196.9262               1.6126               0.0000
    5    -1              47.1617               0.1985               0.0000
    5     0            -233.0307              -0.2852               0.0000
    5     1             360.1173               0.7634               0.0000
    5     2             192.3630              -1.3673               0.0000
    5     3            -140.9990              -0.1870               0.0000
    5     4            -157.4106               1.3445               0.0000
    5     5               4.2981               4.2885               0.0000
    6    -6              62.4613               0.9345               0.0000
    6    -5               7.3815               0.9973               0.0000
    6    -4             -66.6203               0.1626               0.0000
    6    -3              58.7385              -0.7453               0.0000
    6    -2              33.3382              -1.8171               0.0000
    6    -1             -20.6746               0.3705               0.0000
    6     0              69.2848              -0.9249               0.0000
    6     1              67.4615              -0.5930               0.0000
    6     2              72.8943              -0.5224               0.0000
    6     3            -129.7758               2.3811               0.0000
    6     4             -28.9431              -1.1770               0.0000
    6     5              13.1491               0.4003               0.0000
    6     6             -70.8974               1.4517               0.0000
    7    -7              -2.2915              -0.2639               0.0000
    7    -6             -27.4861              -0.0304               0.0000
    7    -5               3.2686              -0.8926               0.0000
    7    -4              24.4935              -0.1308               0.0000
    7    -3               5.6336              -0.1456               0.0000
    7    -2             -19.5181               0.3333               0.0000
    7    -1             -54.1939               0.6368               0.0000
    7     0              81.2025              -0.0095               0.0000
    7     1             -76.0358               0.0464               0.0000
    7     2              -6.8354              -0.6226               0.0000
    7     3              51.8090               1.2144               0.0000
    7     4              15.0835               0.1936               0.0000
    7     5               9.3391              -0.6931               0.0000
    7     6              -2.8240              -0.8749               0.0000
    7     7               6.6729               0.1460               0.0000
    8    -8               2.2127               0.2057               0.0000
    8    -7              -9.1494               0.2679               0.0000
    8    -6               5.6470              -0.1958               0.0000
    8    -5              16.1668              -0.1992               0.0000
    8    -4             -14.6280               0.4784               0.0000
    8    -3              13.1477               0.0714               0.0000
    8    -2             -18.1780               0.6239               0.0000
    8    -1               9.9597              -0.4504               0.0000
    8     0              23.8501              -0.1279               0.0000
    8     1               8.7718              -0.0589               0.0000
    8     2             -16.7166              -0.2955               0.0000
    8     3              -3.1375               0.5819               0.0000
    8     4             -20.6010              -0.1860               0.0000
    8     5              13.3204               0.3177               0.0000
    8     6              11.7512               0.2063               0.0000
    8     7             -15.9575              -0.3610               0.0000
    8     8              -2.0428               0.1748               0.0000
    9    -9               8.4260               0.2893               0.0000
    9    -8              -3.9267               0.4181               0.0000
    9    -7               1.0572              -0.1281               0.0000
    9    -6               7.7740               0.0116               0.0000
    9    -5              -6.8794               0.0822               0.0000
    9    -4              -6.7545               0.2202               0.0000
    9    -3              11.8298              -0.2230               0.0000
    9    -2              10.7965              -0.1659               0.0000
    9    -1             -21.7295              -0.2473               0.0000
    9     0               5.2922              -0.1166               0.0000
    9     1               8.8012               0.0563               0.0000
    9     2               2.9888              -0.0493               0.0000
    9     3              -3.2578               0.3115               0.0000
    9     4               0.7045              -0.3397               0.0000
    9     5             -13.2203              -0.0144               0.0000
    9     6              -0.1199               0.1269               0.0000
    9     7               8.6626               0.1127               0.0000
    9     8              -9.0577              -0.0971               0.0000
    9     9             -10.5413              -0.0972               0.0000
   10   -10              -8.7096              -0.0367               0.0000
   10    -9              -1.1747               0.1656               0.0000
   10    -8              -2.8116              -0.1105               0.0000
   10    -7              -4.1510              -0.0147               0.0000
   10    -6              -0.6058               0.0539               0.0000
   10    -5              -7.9054              -0.0895               0.0000
   10    -4               4.3729               0.0376               0.0000
   10    -3               4.4885              -0.1371               0.0000
   10    -2              -0.3533               0.0549               0.0000
   10    -1               3.1377              -0.1272               0.0000
   10     0              -2.0554              -0.0432               0.0000
   10     1              -6.3644              -0.1549               0.0000
   10     2               0.2307              -0.1123               0.0000
   10     3               0.5766               0.2919               0.0000
   10     4              -0.5956              -0.1229               0.0000
   10     5               1.7152              -0.1316               0.0000
   10     6              -0.6607              -0.0474               0.0000
   10     7               2.1294               0.0127               0.0000
   10     8               2.3395              -0.1263               0.0000
   10     9              -1.8065              -0.1196               0.0000
   10    10              -3.5978              -0.1395               0.0000
   11   -11              -2.3262              -0.0460               0.0000
   11   -10              -2.0192              -0.0122               0.0000
   11    -9              -2.5458              -0.0754               0.0000
   11    -8              -1.4188              -0.0106               0.0000
   11    -7              -2.1282               0.0890               0.0000
   11    -6              -0.2026              -0.0059               0.0000
   11    -5               0.7468              -0.0505               0.0000
   11    -4              -1.0467               0.1550               0.0000
   11    -3              -0.5697               0.0593               0.0000
   11    -2               2.1132               0.0111               0.0000
   11    -1              -0.0799              -0.0122               0.0000
   11     0               3.0409              -0.0048               0.0000
   11     1              -1.3966               0.1383               0.0000
   11     2              -2.3361              -0.0518               0.0000
   11     3               2.0723               0.0380               0.0000
   11     4              -0.7669               0.0121               0.0000
   11     5               0.6051              -0.0050               0.0000
   11     6              -0.6839               0.0366               0.0000
   11     7               0.1607              -0.0359               0.0000
   11     8               1.7108              -0.0092               0.0000
   11     9              -0.2234              -0.1154               0.0000
   11    10               0.4535              -0.0591               0.0000
   11    11               3.4695              -0.0891               0.0000
   12   -12               0.7313              -0.0034               0.0000
   12   -11              -0.1580               0.0146               0.0000
   12   -10              -0.8917              -0.0122               0.0000
   12    -9               0.2350              -0.0092               0.0000
   12    -8               0.2876               0.0378               0.0000
   12    -7              -0.0755              -0.0152               0.0000
   12    -6               0.7136               0.0143               0.0000
   12    -5               0.2722              -0.0154               0.0000
   12    -4              -2.2443               0.0187               0.0000
   12    -3               1.7479              -0.0753               0.0000
   12    -2               0.4642               0.0275               0.0000
   12    -1              -1.1991              -0.2215               0.0000
   12     0              -2.0652              -0.0322               0.0000
   12     1              -0.2221              -0.0552               0.0000
   12     2               0.4241              -0.0556               0.0000
   12     3               1.2668               0.0120               0.0000
   12     4              -0.9035              -0.0683               0.0000
   12     5               0.8381              -0.0415               0.0000
   12     6               0.0825               0.0383               0.0000
   12     7               0.5353              -0.0162               0.0000
   12     8              -0.3684               0.0092               0.0000
   12     9              -0.4553              -0.0351               0.0000
   12    10               0.2068              -0.0413               0.0000
   12    11              -0.9075              -0.0108               0.0000
   12    12              -0.0176               0.0122               0.0000
   13   -13              -0.6918               0.0165               0.0000
   13   -12              -0.4319               0.0105               0.0000
   13   -11              -0.2798               0.0161               0.0000
   13   -10               0.4834               0.0073               0.0000
   13    -9               0.4868               0.0125               0.0000
   13    -8              -0.0156              -0.0076               0.0000
   13    -7               0.4085              -0.0283               0.0000
   13    -6              -0.1184              -0.0174               0.0000
   13    -5              -1.2462              -0.0695               0.0000
   13    -4              -0.5041               0.0468               0.0000
   13    -3               1.5657               0.0005               0.0000
   13    -2               0.4968               0.0414               0.0000
   13    -1              -0.8296               0.0340               0.0000
   13     0              -0.0035               0.0571               0.0000
   13     1              -0.8444               0.1135               0.0000
   13     2               0.4160               0.0807               0.0000
   13     3               0.6056               0.0264               0.0000
   13     4              -0.4014               0.0874               0.0000
   13     5               0.9832              -0.0043               0.0000
   13     6              -0.1870               0.0293               0.0000
   13     7               0.8012              -0.0078               0.0000
   13     8              -0.1263               0.0043               0.0000
   13     9               0.3695              -0.0060               0.0000
   13    10               0.0690               0.0249               0.0000
   13    11               0.4472              -0.0000               0.0000
   13    12              -0.3607              -0.0150               0.0000
   13    13              -0.3558              -0.0095               0.0000
   14   -14              -0.4101              -0.0180               0.0000
   14   -13              -0.3104              -0.0325               0.0000
   14   -12              -0.0600              -0.0486               0.0000
   14   -11               0.1771              -0.0082               0.0000
   14   -10               0.0587               0.0028               0.0000
