% Magnetic field model coefficients
% nmax:  15
% epoch: 2003.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            5122.4869             -21.8929               0.0000
    1     0          -29577.2531              11.0976               0.0000
    1     1           -1693.9877              11.7861               0.0000
    2    -2            -491.7966             -12.1254               0.0000
    2    -1           -2549.5837             -22.5496               0.0000
    2     0           -2311.0708             -13.5741               0.0000
    2     1            3057.4530              -4.8177               0.0000
    2     2            1660.8113              -1.9467               0.0000
    3    -3            -514.7974              -5.3797               0.0000
    3    -2             280.2397              -5.1628               0.0000
    3    -1            -210.6943               5.7135               0.0000
    3     0            1335.9391               0.2629               0.0000
    3     1           -2298.7671              -3.3713               0.0000
    3     2            1248.9415              -1.0127               0.0000
    3     3             689.3200              -8.0427               0.0000
    4    -4            -304.3367              -0.4112               0.0000
    4    -3             135.0352               5.2594               0.0000
    4    -2            -228.8603               1.5993               0.0000
    4    -1             277.5747               2.1748               0.0000
    4     0             924.8603              -2.2670               0.0000
    4     1             793.3854               2.2103               0.0000
    4     2             226.4559              -7.7307               0.0000
    4     3            -389.7680               4.9303               0.0000
    4     4             105.3985              -2.5843               0.0000
    5    -5             105.0836              -0.6229               0.0000
    5    -4             -27.8382               4.0154               0.0000
    5    -3            -126.9443               1.8202               0.0000
    5    -2             176.3695               1.8005               0.0000
    5    -1              43.1066              -0.3025               0.0000
    5     0            -223.5474              -1.7658               0.0000
    5     1             353.2288               0.6362               0.0000
    5     2             214.4191              -2.8081               0.0000
    5     3            -134.1110              -1.2398               0.0000
    5     4            -168.4659               0.1361               0.0000
    5     5             -13.4084              -0.1223               0.0000
    6    -6              48.0064               1.3621               0.0000
    6    -5               0.2794              -0.0945               0.0000
    6    -4             -62.5576              -0.4360               0.0000
    6    -3              64.4065              -0.3678               0.0000
    6    -2              58.4527              -1.7974               0.0000
    6    -1             -19.4318              -0.4439               0.0000
    6     0              73.3325               0.1704               0.0000
    6     1              69.1985               0.2264               0.0000
    6     2              76.0370               0.4009               0.0000
    6     3            -155.0780               1.8944               0.0000
    6     4             -11.0637              -1.8056               0.0000
    6     5              15.5761              -0.4199               0.0000
    6     6             -88.3248               0.8946               0.0000
    7    -7              -5.2372               0.2785               0.0000
    7    -6             -25.8801              -0.1871               0.0000
    7    -5              12.4949              -0.7865               0.0000
    7    -4              24.9887               0.2329               0.0000
    7    -3               6.6187               0.1388               0.0000
    7    -2             -23.1686               0.3489               0.0000
    7    -1             -62.5512               0.6474               0.0000
    7     0              79.5785               0.1995               0.0000
    7     1             -74.2913              -0.0655               0.0000
    7     2              -0.7401              -0.3964               0.0000
    7     3              36.4701               1.1343               0.0000
    7     4              11.0621               0.6121               0.0000
    7     5               8.3591               0.4986               0.0000
    7     6               6.2956              -0.3927               0.0000
    7     7               0.4977               0.7038               0.0000
    8    -8              -0.8178               0.4679               0.0000
    8    -7             -13.6827               0.4414               0.0000
    8    -6               8.1299              -0.2648               0.0000
    8    -5              15.8925               0.1621               0.0000
    8    -4             -20.4668               0.3497               0.0000
    8    -3               9.3264               0.2537               0.0000
    8    -2             -21.1248               0.1460               0.0000
    8    -1              11.4536              -0.1437               0.0000
    8     0              24.7520               0.0649               0.0000
    8     1               7.2248               0.1993               0.0000
    8     2             -10.7480              -0.4383               0.0000
    8     3              -7.2088               0.1713               0.0000
    8     4             -17.5982              -0.2461               0.0000
    8     5               9.6679               0.2019               0.0000
    8     6               8.4110               0.5116               0.0000
    8     7             -10.0143              -0.6558               0.0000
    8     8              -5.7930               0.4822               0.0000
    9    -9               5.5796               0.2242               0.0000
    9    -8              -8.0974               0.1673               0.0000
    9    -7               3.2366              -0.1458               0.0000
    9    -6               8.2436              -0.0652               0.0000
    9    -5              -8.3076               0.0479               0.0000
    9    -4              -6.5339              -0.1057               0.0000
    9    -3              12.5646               0.0440               0.0000
    9    -2              13.0334              -0.1338               0.0000
    9    -1             -19.8592              -0.1539               0.0000
    9     0               5.4010               0.1116               0.0000
    9     1               9.7076               0.0217               0.0000
    9     2               3.4309               0.0993               0.0000
    9     3              -7.5993               0.3286               0.0000
    9     4               5.5398              -0.2571               0.0000
    9     5             -10.0370              -0.3286               0.0000
    9     6              -1.3938               0.0575               0.0000
    9     7               8.9777              -0.0917               0.0000
    9     8              -5.7387              -0.4483               0.0000
    9     9              -8.7872              -0.2236               0.0000
   10   -10              -7.7881              -0.0686               0.0000
   10    -9              -2.3168              -0.0139               0.0000
   10    -8              -0.4004              -0.2404               0.0000
   10    -7              -3.2190              -0.1494               0.0000
   10    -6              -1.0849               0.0269               0.0000
   10    -5              -6.3283              -0.1476               0.0000
   10    -4               4.8378              -0.0223               0.0000
   10    -3               4.3317               0.0639               0.0000
   10    -2               0.1193               0.0100               0.0000
   10    -1               1.9992               0.0769               0.0000
   10     0              -2.2818               0.0932               0.0000
   10     1              -6.0787              -0.0478               0.0000
   10     2               1.5178              -0.0203               0.0000
   10     3              -2.7276               0.1844               0.0000
   10     4              -0.2454               0.0726               0.0000
   10     5               3.3124              -0.1269               0.0000
   10     6               0.5835              -0.1428               0.0000
   10     7               2.0348               0.0080               0.0000
   10     8               4.0622              -0.1382               0.0000
   10     9               0.0712              -0.1134               0.0000
   10    10              -1.7972              -0.1481               0.0000
   11   -11              -1.1739              -0.1026               0.0000
   11   -10              -1.8945               0.0059               0.0000
   11    -9              -1.3923              -0.1012               0.0000
   11    -8              -0.9917              -0.0371               0.0000
   11    -7              -2.7547               0.0423               0.0000
   11    -6              -0.6441               0.0276               0.0000
   11    -5               0.9211              -0.0113               0.0000
   11    -4              -2.4166               0.0616               0.0000
   11    -3              -0.8709               0.0605               0.0000
   11    -2               1.4079               0.0582               0.0000
   11    -1               0.2924              -0.0067               0.0000
   11     0               2.8913               0.0475               0.0000
   11     1              -1.6416              -0.0191               0.0000
   11     2              -1.7655              -0.0459               0.0000
   11     3               1.4362              -0.0037               0.0000
   11     4              -0.2340              -0.0563               0.0000
   11     5               0.1953               0.0431               0.0000
   11     6              -0.7429              -0.0341               0.0000
   11     7               0.6150              -0.0444               0.0000
   11     8               1.7849               0.0002               0.0000
   11     9               0.1487               0.0026               0.0000
   11    10               1.0352              -0.0208               0.0000
   11    11               3.9996               0.0009               0.0000
   12   -12               0.9113              -0.0138               0.0000
   12   -11              -0.3833               0.0180               0.0000
   12   -10              -0.8775               0.0045               0.0000
   12    -9               0.2674               0.0120               0.0000
   12    -8               0.0183              -0.0109               0.0000
   12    -7               0.0417              -0.0090               0.0000
   12    -6               0.3605               0.0103               0.0000
   12    -5               0.6349              -0.0156               0.0000
   12    -4              -2.6226              -0.0171               0.0000
   12    -3               2.4806              -0.0566               0.0000
   12    -2               0.2253              -0.0104               0.0000
   12    -1              -0.3986              -0.0751               0.0000
   12     0              -2.1392              -0.0075               0.0000
   12     1              -0.3159               0.0062               0.0000
   12     2               0.2152              -0.0073               0.0000
   12     3               0.8223               0.0333               0.0000
   12     4              -0.2568              -0.0457               0.0000
   12     5               0.9415              -0.0023               0.0000
   12     6              -0.3973               0.0506               0.0000
   12     7               0.4089               0.0137               0.0000
   12     8              -0.3324              -0.0133               0.0000
   12     9              -0.3680               0.0002               0.0000
   12    10               0.0425               0.0323               0.0000
   12    11              -0.3328              -0.0922               0.0000
   12    12              -0.2068               0.0510               0.0000
   13   -13              -0.7580              -0.0383               0.0000
   13   -12              -0.5605               0.0002               0.0000
   13   -11              -0.2280              -0.0014               0.0000
   13   -10               0.3569               0.0058               0.0000
   13    -9               0.5702              -0.0173               0.0000
   13    -8               0.2535              -0.0211               0.0000
   13    -7               0.6521              -0.0095               0.0000
   13    -6              -0.0477               0.0078               0.0000
   13    -5              -0.9848              -0.0371               0.0000
   13    -4              -0.5221              -0.0283               0.0000
   13    -3               1.7268              -0.0024               0.0000
