% Magnetic field model coefficients
% nmax:  15
% epoch: 2002.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
   12   -11              -0.4194               0.0361               0.0000
   12   -10              -0.8778               0.0003               0.0000
   12    -9               0.2718              -0.0044               0.0000
   12    -8               0.0136               0.0047               0.0000
   12    -7               0.0326               0.0091               0.0000
   12    -6               0.3128               0.0477               0.0000
   12    -5               0.6608              -0.0259               0.0000
   12    -4              -2.5906              -0.0320               0.0000
   12    -3               2.5020              -0.0214               0.0000
   12    -2               0.2119               0.0134               0.0000
   12    -1              -0.3260              -0.0726               0.0000
   12     0              -2.1797               0.0405               0.0000
   12     1              -0.3116              -0.0043               0.0000
   12     2               0.1969               0.0183               0.0000
   12     3               0.8012               0.0211               0.0000
   12     4              -0.2264              -0.0304               0.0000
   12     5               0.9609              -0.0194               0.0000
   12     6              -0.4334               0.0361               0.0000
   12     7               0.4095              -0.0006               0.0000
   12     8              -0.3205              -0.0119               0.0000
   12     9              -0.3713               0.0033               0.0000
   12    10              -0.0117               0.0542               0.0000
   12    11              -0.2831              -0.0497               0.0000
   12    12              -0.2454               0.0386               0.0000
   13   -13              -0.7920               0.0340               0.0000
   13   -12              -0.5278              -0.0327               0.0000
   13   -11              -0.1992              -0.0288               0.0000
   13   -10               0.3447               0.0122               0.0000
   13    -9               0.5843              -0.0141               0.0000
   13    -8               0.2574              -0.0039               0.0000
   13    -7               0.6783              -0.0262               0.0000
   13    -6              -0.0442              -0.0035               0.0000
   13    -5              -0.9789              -0.0059               0.0000
   13    -4              -0.5019              -0.0202               0.0000
   13    -3               1.7262               0.0006               0.0000
   13    -2               0.3408               0.0145               0.0000
   13    -1              -0.7312              -0.0067               0.0000
   13     0              -0.1713               0.0175               0.0000
   13     1              -0.8785              -0.0196               0.0000
   13     2               0.3252              -0.0076               0.0000
   13     3               0.2040               0.0319               0.0000
   13     4              -0.4311              -0.0111               0.0000
   13     5               1.2099              -0.0054               0.0000
   13     6              -0.4048               0.0135               0.0000
   13     7               0.7267               0.0095               0.0000
   13     8              -0.3228               0.0132               0.0000
   13     9               0.3237               0.0237               0.0000
   13    10              -0.0504              -0.0004               0.0000
   13    11               0.3926               0.0179               0.0000
   13    12              -0.0013              -0.0191               0.0000
   13    13              -0.1367              -0.0428               0.0000
   14   -14              -0.3545              -0.0056               0.0000
   14   -13              -0.1251              -0.0407               0.0000
   14   -12               0.2039              -0.0222               0.0000
   14   -11               0.0263               0.0068               0.0000
   14   -10               0.2276               0.0090               0.0000
   14    -9               0.3529              -0.0103               0.0000
   14    -8               0.2719              -0.0128               0.0000
   14    -7               0.2926               0.0119               0.0000
   14    -6               0.3621               0.0118               0.0000
   14    -5              -0.0737              -0.0119               0.0000
   14    -4               0.4251              -0.0046               0.0000
   14    -3               0.3657              -0.0025               0.0000
   14    -2              -0.7391               0.0190               0.0000
   14    -1               0.4261               0.0101               0.0000
   14     0              -0.3480               0.0003               0.0000
   14     1               0.3133              -0.0028               0.0000
   14     2              -0.1217               0.0043               0.0000
   14     3              -0.2184               0.0005               0.0000
   14     4              -0.1000               0.0133               0.0000
   14     5               0.2310              -0.0197               0.0000
   14     6              -0.1055               0.0041               0.0000
   14     7              -0.0795              -0.0254               0.0000
   14     8               0.2236               0.0140               0.0000
   14     9              -0.0394               0.0050               0.0000
   14    10               0.5886               0.0238               0.0000
   14    11              -0.3800               0.0115               0.0000
   14    12               0.2667               0.0112               0.0000
   14    13               0.2585               0.0220               0.0000
   14    14               0.2817              -0.0474               0.0000
   15   -15              -0.0704               0.0184               0.0000
   15   -14               0.0216              -0.0084               0.0000
   15   -13               0.1866               0.0082               0.0000
   15   -12              -0.3490               0.0062               0.0000
   15   -11              -0.0899              -0.0179               0.0000
   15   -10              -0.0296               0.0045               0.0000
   15    -9               0.0812              -0.0054               0.0000
   15    -8              -0.2007              -0.0086               0.0000
   15    -7               0.2662              -0.0027               0.0000
   15    -6               0.0538               0.0060               0.0000
   15    -5               0.0017               0.0272               0.0000
   15    -4               0.0376              -0.0162               0.0000
   15    -3               0.2122               0.0001               0.0000
   15    -2               0.0438               0.0025               0.0000
   15    -1               0.5718               0.0133               0.0000
   15     0               0.1943              -0.0057               0.0000
   15     1               0.4484              -0.0054               0.0000
   15     2               0.0558               0.0098               0.0000
   15     3               0.4911               0.0066               0.0000
   15     4              -0.0554              -0.0112               0.0000
   15     5               0.0667               0.0118               0.0000
   15     6              -0.1319               0.0144               0.0000
   15     7              -0.1388              -0.0073               0.0000
   15     8               0.1763              -0.0159               0.0000
   15     9              -0.2596               0.0063               0.0000
   15    10              -0.2199               0.0110               0.0000
   15    11               0.2576               0.0041               0.0000
   15    12              -0.0321               0.0074               0.0000
   15    13              -0.1748               0.0205               0.0000
   15    14               0.0843              -0.0094               0.0000
   15    15              -0.1960              -0.0022               0.0000
