% Magnetic field model coefficients
% nmax:  15
% epoch: 2016.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4767.6540             -30.0354              -2.4616
    1     0          -29434.3163               9.0343               0.9519
    1     1           -1485.7001              12.2740              -4.2410
    2    -2            -657.8624             -15.6220              -0.3835
    2    -1           -2873.2018             -28.1376              -0.9132
    2     0           -2456.2937             -10.3186              -0.7431
    2     1            3007.4111              -4.9800              -0.8327
    2     2            1678.0723               1.4649              -0.1478
    3    -3            -539.0882              -1.2568              -1.6513
    3    -2             245.0341              -0.1459              -0.1622
    3    -1            -107.7309               7.3350              -0.5362
    3     0            1353.6777               3.1185              -0.2302
    3     1           -2358.0454              -5.1793               0.2682
    3     2            1226.3584               1.1065               0.9579
    3     3             570.9779             -10.7453              -0.0502
    4    -4            -333.4764              -3.8025               0.8379
    4    -3             184.5170               3.8095               0.3847
    4    -2            -182.8915               5.7359               0.1005
    4    -1             283.0333              -0.4638               0.2219
    4     0             906.4405              -0.7149               0.0106
    4     1             813.8330              -0.3750              -0.4717
    4     2             112.2707              -7.8811               0.7445
    4     3            -330.2819               4.8166               0.4572
    4     4              65.9514              -4.3281               0.0934
    5    -5              99.8762              -0.4310              -0.3204
    5    -4              19.3821               3.2508              -0.1292
    5    -3            -119.8397              -0.3724               0.5882
    5    -2             199.0524               2.0600               0.2294
    5    -1              47.0863               0.0798              -0.0240
    5     0            -233.4769              -0.3919              -0.0536
    5     1             360.4637               0.5912              -0.0605
    5     2             190.9947              -1.1111               0.2684
    5     3            -141.0068              -0.0678               0.0571
    5     4            -156.0336               1.2596              -0.1265
    5     5               7.9475               3.0826              -0.9939
    6    -6              63.3728               1.0740               0.1974
    6    -5               8.0931               0.5837              -0.2849
    6    -4             -66.5262               0.1464               0.0746
    6    -3              57.7094              -1.0127              -0.1607
    6    -2              31.3130              -1.6484               0.2603
    6    -1             -20.1027               0.5458               0.0936
    6     0              68.4418              -0.8218              -0.0259
    6     1              67.3866              -0.3395               0.0507
    6     2              72.5320              -0.3347               0.1933
    6     3            -127.8050               1.9339              -0.2839
    6     4             -30.2157              -1.3278              -0.1118
    6     5              13.4564               0.2231              -0.1400
    6     6             -69.3014               1.6184               0.1021
    7    -7              -2.5840              -0.1612               0.1351
    7    -6             -27.5722              -0.0428               0.0292
    7    -5               2.3044              -1.0344              -0.1187
    7    -4              24.2319              -0.2392              -0.0527
    7    -3               5.2096              -0.5187              -0.2438
    7    -2             -18.8820               0.5445               0.0429
    7    -1             -53.6084               0.5800              -0.0617
    7     0              81.2322              -0.1331              -0.0945
    7     1             -76.2978              -0.2283              -0.1554
    7     2              -7.3077              -0.4714               0.0356
    7     3              53.0829               1.1417              -0.0818
    7     4              15.2707               0.1281              -0.0901
    7     5               8.6210              -0.6888               0.0220
    7     6              -3.8032              -0.9778              -0.0312
    7     7               6.7549               0.2547               0.1659
    8    -8               2.4695               0.2203              -0.0283
    8    -7              -8.6968               0.4190               0.0470
    8    -6               5.4504              -0.2790              -0.1089
    8    -5              15.9331              -0.2320               0.0029
    8    -4             -13.9814               0.6047               0.0448
    8    -3              13.1755              -0.0349              -0.0940
    8    -2             -17.7719               0.5066              -0.0019
    8    -1               9.7696              -0.2379               0.1071
    8     0              23.8012              -0.0046               0.0731
    8     1               9.0941               0.2991               0.1522
    8     2             -16.9468              -0.1341               0.1138
    8     3              -2.6161               0.5602              -0.0268
    8     4             -20.7888              -0.1615               0.0013
    8     5              13.6751               0.3478               0.0311
    8     6              12.0276               0.3313               0.0968
    8     7             -16.2968              -0.2500               0.1337
    8     8              -1.7597               0.2741               0.0611
    9    -9               8.7628               0.2697              -0.0426
    9    -8              -3.3921               0.4799              -0.0073
    9    -7               0.8745              -0.1095               0.0650
    9    -6               7.8186               0.0307               0.0129
    9    -5              -6.7461               0.1262               0.0126
    9    -4              -6.5224               0.2564               0.0314
    9    -3              11.3737              -0.3358               0.0138
    9    -2              10.7640               0.0490               0.1170
    9    -1             -22.1114              -0.4214              -0.0641
    9     0               5.2863              -0.0296               0.0624
    9     1               8.6585              -0.2776              -0.1964
    9     2               3.0296              -0.1200              -0.1148
    9     3              -2.7836               0.4093               0.0333
    9     4               0.2542              -0.3806               0.0309
    9     5             -13.2216               0.0180               0.0081
    9     6               0.0875               0.2205               0.0553
    9     7               8.7908               0.0687              -0.0636
    9     8              -9.1904              -0.0770               0.0341
    9     9             -10.6607              -0.1599              -0.0526
   10   -10              -8.7668              -0.0490               0.0590
   10    -9              -0.9081               0.2206               0.0067
   10    -8              -3.0309              -0.1663               0.0222
   10    -7              -4.1742              -0.0272               0.0056
   10    -6              -0.5315               0.0899               0.0258
   10    -5              -8.0389              -0.1305               0.0125
   10    -4               4.4779               0.0741               0.0218
   10    -3               4.3323              -0.2088              -0.0714
   10    -2              -0.3820              -0.0700              -0.0711
   10    -1               3.3627               0.1743               0.1544
   10     0              -2.1220               0.1437               0.2390
   10     1              -6.2619               0.1388               0.1678
   10     2               0.1382               0.0381               0.1724
   10     3               0.8134               0.2383              -0.0391
   10     4              -0.6569              -0.0917              -0.0116
   10     5               1.5428              -0.1975              -0.0190
   10     6              -0.7155              -0.0516               0.0105
   10     7               2.1433              -0.0077              -0.0367
   10     8               2.1904              -0.1570              -0.0114
   10     9              -1.9289              -0.1100              -0.0081
   10    10              -3.7233              -0.1018               0.0585
   11   -11              -2.4344              -0.0851               0.0174
   11   -10              -2.0019               0.0182              -0.0019
   11    -9              -2.6790              -0.0921               0.0164
   11    -8              -1.5011              -0.0316               0.0320
   11    -7              -2.0309               0.0850              -0.0179
   11    -6              -0.1831              -0.0042              -0.0139
   11    -5               0.7173              -0.0252               0.0208
   11    -4              -0.9385               0.1150              -0.0334
   11    -3              -0.5876               0.0726               0.0388
   11    -2               2.1338               0.1281               0.0607
   11    -1              -0.1534              -0.0450               0.0411
   11     0               2.9374               0.0038               0.0692
   11     1              -1.3994              -0.1181              -0.1744
   11     2              -2.3775              -0.2156              -0.1938
   11     3               2.1029               0.0636               0.0278
   11     4              -0.8278              -0.0276              -0.0255
   11     5               0.5103              -0.0760              -0.0367
   11     6              -0.6954               0.0074              -0.0018
   11     7               0.0969              -0.0675              -0.0043
   11     8               1.6522              -0.0516              -0.0098
   11     9              -0.3204              -0.0971               0.0119
   11    10               0.3815              -0.0531               0.0323
   11    11               3.3990              -0.0644              -0.0025
   12   -12               0.7176              -0.0438              -0.0339
   12   -11              -0.1307               0.0112              -0.0210
   12   -10              -0.8994              -0.0258               0.0090
   12    -9               0.2149              -0.0261               0.0062
   12    -8               0.3417               0.0495               0.0052
   12    -7              -0.1031              -0.0195               0.0066
   12    -6               0.7150               0.0142               0.0046
   12    -5               0.2472              -0.0428               0.0115
   12    -4              -2.1327               0.0926               0.0291
   12    -3               1.6449              -0.1262              -0.0340
   12    -2               0.5066              -0.0663              -0.0718
   12    -1              -1.2061               0.0647               0.2286
   12     0              -2.0324               0.0937               0.1533
   12     1              -0.2104               0.0973               0.0943
   12     2               0.5295               0.1271               0.1180
   12     3               1.3169               0.0051               0.0130
   12     4              -0.9873              -0.0707              -0.0079
   12     5               0.8364              -0.0219               0.0098
   12     6               0.1644               0.0329              -0.0258
   12     7               0.5411              -0.0086              -0.0178
   12     8              -0.3473               0.0076               0.0019
   12     9              -0.4611              -0.0063               0.0067
   12    10               0.1958              -0.0055               0.0315
   12    11              -0.9994              -0.0386               0.0464
   12    12              -0.0662              -0.0130               0.0280
   13   -13              -0.6326              -0.0051              -0.1175
   13   -12              -0.4128               0.0164               0.0158
   13   -11              -0.3274              -0.0186               0.0246
   13   -10               0.4913               0.0036              -0.0052
   13    -9               0.4748               0.0058               0.0039
   13    -8              -0.0543              -0.0126               0.0197
   13    -7               0.3907              -0.0372              -0.0190
   13    -6              -0.0904               0.0138               0.0185
   13    -5              -1.2648               0.0014               0.0495
   13    -4              -0.4486               0.0184              -0.0323
   13    -3               1.5467               0.0094               0.0370
   13    -2               0.4554               0.0582               0.0477
   13    -1              -1.0072              -0.0095               0.1408
   13     0              -0.0448              -0.0169              -0.0480
   13     1              -0.9114              -0.1017              -0.1168
   13     2               0.3886              -0.0927              -0.1750
   13     3               0.5517               0.0257               0.0311
   13     4              -0.3950               0.0106              -0.0434
   13     5               0.9493              -0.0478              -0.0411
   13     6              -0.1589               0.0417               0.0243
   13     7               0.8313              -0.0022              -0.0186
   13     8              -0.1286               0.0058               0.0113
   13     9               0.3940               0.0167              -0.0090
   13    10               0.0858               0.0231               0.0155
   13    11               0.4703               0.0196              -0.0053
   13    12              -0.3743              -0.0370              -0.0270
   13    13              -0.3631               0.0012              -0.0049
   14   -14              -0.3388               0.0289              -0.0801
   14   -13              -0.2977              -0.0282              -0.0055
   14   -12              -0.0542              -0.0375              -0.0232
   14   -11               0.2286               0.0203              -0.0118
   14   -10               0.0227              -0.0399              -0.0051
   14    -9               0.3881              -0.0024              -0.0005
   14    -8               0.0556              -0.0183               0.0136
   14    -7               0.3802               0.0174               0.0043
   14    -6               0.3245               0.0000               0.0031
   14    -5              -0.0832              -0.0101              -0.0071
   14    -4               0.4575               0.0296              -0.0097
   14    -3               0.3722              -0.0317              -0.0318
   14    -2              -0.5510              -0.0460              -0.0532
   14    -1               0.2144               0.0868               0.2281
   14     0              -0.2360               0.0050              -0.0487
   14     1               0.2900               0.0423               0.0803
   14     2              -0.2338               0.0836               0.0954
   14     3              -0.0324               0.0020               0.0359
   14     4              -0.0936               0.0134               0.0063
   14     5               0.2328               0.0081              -0.0009
   14     6               0.0265              -0.0132              -0.0397
   14     7              -0.1199              -0.0005              -0.0195
   14     8               0.3127               0.0076               0.0055
   14     9               0.0512               0.0165               0.0089
   14    10               0.6679              -0.0101               0.0153
   14    11              -0.2798               0.0098               0.0262
   14    12               0.3516               0.0271               0.0086
   14    13               0.2062              -0.0098              -0.0251
   14    14              -0.0662              -0.0725              -0.1162
   15   -15              -0.0653               0.0605               0.0792
   15   -14              -0.0861               0.0123               0.0431
   15   -13               0.0860              -0.0083              -0.0359
   15   -12              -0.2512              -0.0045               0.0048
   15   -11              -0.1687              -0.0095               0.0261
   15   -10               0.0354              -0.0128              -0.0166
   15    -9               0.1286               0.0020              -0.0095
   15    -8              -0.1671               0.0032               0.0220
   15    -7               0.2872              -0.0177              -0.0213
   15    -6               0.1130               0.0250               0.0492
   15    -5               0.0480               0.0326               0.0427
   15    -4               0.1162               0.0005              -0.0160
   15    -3               0.2895               0.0202               0.0256
   15    -2               0.0193               0.0253               0.0524
   15    -1               0.4888               0.0608               0.2415
   15     0               0.1567              -0.0543              -0.1144
   15     1               0.4728              -0.1008              -0.1280
   15     2              -0.0183              -0.0765              -0.1090
   15     3               0.2907              -0.0045               0.0226
   15     4              -0.1966              -0.0267              -0.0396
   15     5               0.1570              -0.0169              -0.0485
   15     6              -0.0920               0.0177               0.0180
   15     7              -0.0769               0.0085              -0.0030
   15     8               0.0896              -0.0155              -0.0014
   15     9              -0.2739               0.0152               0.0112
   15    10              -0.1765               0.0135               0.0192
   15    11               0.2135               0.0065               0.0053
   15    12              -0.0247               0.0141               0.0043
   15    13              -0.0309               0.0030              -0.0059
   15    14               0.1147              -0.0032               0.0142
   15    15              -0.3878              -0.0022               0.0093
