% Magnetic field model coefficients
% nmax:  15
% epoch: 2017.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4736.3877             -32.4970              -2.4616
    1     0          -29424.8061               9.9861               0.9519
    1     1           -1475.5466               8.0330              -4.2410
    2    -2            -673.6762             -16.0055              -0.3835
    2    -1           -2901.7959             -29.0508              -0.9132
    2     0           -2466.9839             -11.0617              -0.7431
    2     1            3002.0148              -5.8127              -0.8327
    2     2            1679.4634               1.3172              -0.1478
    3    -3            -541.1707              -2.9082              -1.6513
    3    -2             244.8072              -0.3081              -0.1622
    3    -1            -100.6640               6.7988              -0.5362
    3     0            1356.6812               2.8883              -0.2302
    3     1           -2363.0906              -4.9111               0.2682
    3     2            1227.9438               2.0644               0.9579
    3     3             560.2075             -10.7955              -0.0502
    4    -4            -336.8599              -2.9645               0.8379
    4    -3             188.5188               4.1942               0.3847
    4    -2            -177.1053               5.8364               0.1005
    4    -1             282.6804              -0.2419               0.2219
    4     0             905.7309              -0.7043               0.0106
    4     1             813.2221              -0.8468              -0.4717
    4     2             104.7619              -7.1366               0.7445
    4     3            -325.2367               5.2738               0.4572
    4     4              61.6701              -4.2346               0.0934
    5    -5              99.2849              -0.7515              -0.3204
    5    -4              22.5682               3.1216              -0.1292
    5    -3            -119.9180               0.2158               0.5882
    5    -2             201.2271               2.2894               0.2294
    5    -1              47.1541               0.0558              -0.0240
    5     0            -233.8956              -0.4455              -0.0536
    5     1             361.0247               0.5307              -0.0605
    5     2             190.0178              -0.8427               0.2684
    5     3            -141.0460              -0.0107               0.0571
    5     4            -154.8372               1.1331              -0.1265
    5     5              10.5332               2.0887              -0.9939
    6    -6              64.5454               1.2714               0.1974
    6    -5               8.5343               0.2988              -0.2849
    6    -4             -66.3424               0.2210               0.0746
    6    -3              56.6163              -1.1735              -0.1607
    6    -2              29.7948              -1.3880               0.2603
    6    -1             -19.5101               0.6394               0.0936
    6     0              67.6070              -0.8477              -0.0259
    6     1              67.0724              -0.2889               0.0507
    6     2              72.2939              -0.1414               0.1933
    6     3            -126.0130               1.6500              -0.2839
    6     4             -31.5994              -1.4396              -0.1118
    6     5              13.6095               0.0831              -0.1400
    6     6             -67.6320               1.7205               0.1021
    7    -7              -2.6776              -0.0260               0.1351
    7    -6             -27.6004              -0.0137               0.0292
    7    -5               1.2107              -1.1531              -0.1187
    7    -4              23.9663              -0.2920              -0.0527
    7    -3               4.5689              -0.7625              -0.2438
    7    -2             -18.3160               0.5874               0.0429
