% Magnetic field model coefficients
% nmax:  15
% epoch: 2008.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            5004.6585             -28.8837               0.0000
    1     0          -29518.5617              11.1595               0.0000
    1     1           -1619.5150              17.2256               0.0000
    2    -2            -548.8437             -13.1099               0.0000
    2    -1           -2661.1222             -22.6884               0.0000
    2     0           -2373.3937             -11.6790               0.0000
    2     1            3033.4488              -4.0679               0.0000
    2     2            1663.2403               2.9277               0.0000
    3    -3            -532.2710              -1.9057               0.0000
    3    -2             257.1283              -2.8024               0.0000
    3    -1            -178.7110               8.7583               0.0000
    3     0            1337.4880               0.9493               0.0000
    3     1           -2318.5928              -3.8880               0.0000
    3     2            1237.1977              -2.9788               0.0000
    3     3             650.5909              -7.4891               0.0000
    4    -4            -307.4921              -0.6683               0.0000
    4    -3             156.9630               3.6996               0.0000
    4    -2            -217.4981               3.0420               0.0000
    4    -1             286.3123               0.2511               0.0000
    4     0             915.3104              -1.4077               0.0000
    4     1             805.2184               2.0229               0.0000
    4     2             184.5260              -8.9786               0.0000
    4     3            -366.0066               4.3994               0.0000
    4     4              94.2159              -1.9318               0.0000
    5    -5             102.1996              -0.6099               0.0000
    5    -4              -7.1677               3.7138               0.0000
    5    -3            -119.7804               0.8263               0.0000
    5    -2             185.9760               1.4851               0.0000
    5    -1              43.5941               0.5041               0.0000
    5     0            -229.7955              -0.6384               0.0000
    5     1             356.0824               0.6057               0.0000
    5     2             203.4601              -1.5549               0.0000
    5     3            -139.9727              -0.7400               0.0000
    5     4            -165.7079               1.2467               0.0000
    5     5             -10.6483               1.5337               0.0000
    6    -6              53.9043               0.4489               0.0000
    6    -5               1.6823               0.6754               0.0000
    6    -4             -65.3208              -0.5033               0.0000
    6    -3              62.4449              -0.4373               0.0000
    6    -2              48.6281              -2.2236               0.0000
    6    -1             -20.8044               0.0177               0.0000
    6     0              73.4660              -0.3522               0.0000
    6     1              69.0836              -0.2422               0.0000
    6     2              76.6400              -0.2687               0.0000
    6     3            -145.4978               2.0437               0.0000
    6     4             -19.7941              -1.5805               0.0000
    6     5              13.2825              -0.1003               0.0000
    6     6             -81.3718               1.8390               0.0000
    7    -7              -3.9595               0.2563               0.0000
    7    -6             -27.0813              -0.3429               0.0000
    7    -5               8.4832              -0.7449               0.0000
    7    -4              25.2452              -0.1483               0.0000
    7    -3               6.8212              -0.1166               0.0000
    7    -2             -21.7853               0.2922               0.0000
    7    -1             -59.1092               0.6001               0.0000
    7     0              80.1314               0.1369               0.0000
    7     1             -74.7124              -0.1342               0.0000
    7     2              -3.4828              -0.6171               0.0000
    7     3              42.4425               1.4205               0.0000
    7     4              13.6171               0.2046               0.0000
    7     5              10.2772               0.0761               0.0000
    7     6               3.3045              -0.7994               0.0000
    7     7               4.0225               0.4833               0.0000
    8    -8               0.8494               0.4264               0.0000
    8    -7             -11.4880               0.3628               0.0000
    8    -6               7.2092              -0.0490               0.0000
    8    -5              16.5754               0.0800               0.0000
    8    -4             -18.3876               0.4990               0.0000
    8    -3              10.9494               0.4714               0.0000
    8    -2             -20.4439               0.1849               0.0000
    8    -1              10.9664              -0.0311               0.0000
    8     0              24.6178              -0.1200               0.0000
    8     1               7.9644               0.1106               0.0000
    8     2             -13.3650              -0.5626               0.0000
    8     3              -6.2504               0.2891               0.0000
    8     4             -18.8044              -0.2210               0.0000
    8     5              11.0766               0.2466               0.0000
    8     6              10.3606               0.2469               0.0000
    8     7             -13.0401              -0.5619               0.0000
    8     8              -4.0148               0.1446               0.0000
    9    -9               6.6384               0.1763               0.0000
    9    -8              -6.8429               0.3785               0.0000
    9    -7               2.4683              -0.1600               0.0000
    9    -6               7.9770               0.0063               0.0000
    9    -5              -7.7314               0.1833               0.0000
    9    -4              -7.0067              -0.0879               0.0000
    9    -3              12.7921              -0.0072               0.0000
    9    -2              11.9908              -0.2533               0.0000
    9    -1             -20.2703              -0.1170               0.0000
    9     0               5.5757              -0.0401               0.0000
    9     1               9.6620              -0.1033               0.0000
    9     2               3.6034              -0.0923               0.0000
    9     3              -5.9372               0.3182               0.0000
    9     4               3.9902              -0.4336               0.0000
    9     5             -11.8341              -0.2761               0.0000
    9     6              -1.0011               0.1257               0.0000
    9     7               8.5481              -0.0683               0.0000
    9     8              -7.8445              -0.3046               0.0000
    9     9              -9.7660              -0.1586               0.0000
   10   -10              -8.1565              -0.0851               0.0000
   10    -9              -2.1582               0.0953               0.0000
   10    -8              -1.5332              -0.2309               0.0000
   10    -7              -3.7765              -0.0814               0.0000
   10    -6              -0.9902              -0.0020               0.0000
   10    -5              -6.9529              -0.1377               0.0000
   10    -4               4.5884              -0.0746               0.0000
   10    -3               4.6542               0.0437               0.0000
   10    -2               0.0052              -0.0586               0.0000
   10    -1               2.5526               0.1072               0.0000
   10     0              -2.0445               0.0430               0.0000
   10     1              -6.1961              -0.0192               0.0000
   10     2               1.1252              -0.1144               0.0000
   10     3              -1.6385               0.2884               0.0000
   10     4              -0.1278              -0.0180               0.0000
   10     5               2.6753              -0.1000               0.0000
   10     6              -0.1375              -0.0980               0.0000
   10     7               2.1077               0.0345               0.0000
   10     8               3.3504              -0.1227               0.0000
   10     9              -0.7137              -0.1527               0.0000
   10    10              -2.5306              -0.1349               0.0000
   11   -11              -1.6913              -0.0806               0.0000
   11   -10              -1.8878              -0.0231               0.0000
   11    -9              -1.8840              -0.1135               0.0000
   11    -8              -1.1979              -0.0360               0.0000
   11    -7              -2.6012               0.0324               0.0000
   11    -6              -0.4627               0.0445               0.0000
   11    -5               0.8787              -0.0178               0.0000
   11    -4              -1.9863               0.1144               0.0000
   11    -3              -0.6853               0.0241               0.0000
   11    -2               1.5844               0.0680               0.0000
   11    -1               0.2258              -0.0439               0.0000
   11     0               2.9870               0.0131               0.0000
   11     1              -1.5254               0.0075               0.0000
