% Magnetic field model coefficients
% nmax:  15
% epoch: 2015.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4796.5574             -27.4620              -3.3840
    1     0          -29442.7343               8.0790              -0.6850
    1     1           -1500.3052              16.2767              -2.8142
    2    -2            -642.2711             -15.2293              -1.0760
    2    -1           -2845.7271             -27.3184              -0.5972
    2     0           -2446.5308              -9.6758               2.0147
    2     1            3011.9943              -4.1516              -0.9646
    2     2            1676.4940               1.5605              -0.5179
    3    -3            -538.6816               0.3791              -1.7482
    3    -2             245.0895              -0.0440               0.0519
    3    -1            -115.3526               7.9503              -0.2620
    3     0            1350.3838               2.9751              -0.4696
    3     1           -2352.7103              -5.4883               0.1019
    3     2            1225.7091               0.1669               1.4224
    3     3             581.7236             -10.6225              -0.3538
    4    -4            -329.2524              -4.5847               0.8525
    4    -3             180.9199               3.4194               0.4944
    4    -2            -188.6337               5.5429               0.4674
    4    -1             283.4482              -0.7210               0.5258
    4     0             906.9938              -0.8422               1.9597
    4     1             813.9612               0.0944              -0.1532
    4     2             120.4788              -8.6516               0.4801
    4     3            -334.8765               4.3222               0.6044
    4     4              70.3460              -4.4012              -0.0163
    5    -5             100.1583              -0.1076              -0.4985
    5    -4              16.0290               3.4184              -0.1190
    5    -3            -119.2277              -0.9824               0.7169
    5    -2             197.0680               1.8681               0.2706
    5    -1              47.0134               0.1689              -0.2319
    5     0            -232.9002              -0.5541              -0.9676
    5     1             359.9416               0.5518              -0.2457
    5     2             192.3199              -1.3042               0.0347
    5     3            -140.9193              -0.1108               0.0631
    5     4            -157.3842               1.3729              -0.0109
    5     5               4.2916               4.0306              -0.5493
    6    -6              62.4452               0.8420               0.0401
    6    -5               7.3622               0.8731              -0.2149
    6    -4             -66.6241               0.0949              -0.0663
    6    -3              58.7293              -0.8492              -0.2556
    6    -2              33.1551              -1.9894               0.1395
    6    -1             -20.7254               0.4328               0.4549
    6     0              69.3094              -0.9093               0.3468
    6     1              67.7256              -0.3222               0.1446
    6     2              72.8481              -0.5181               0.0648
    6     3            -129.8555               2.1681              -0.3053
    6     4             -28.9504              -1.2072              -0.0637
    6     5              13.1482               0.3309              -0.1341
    6     6             -70.9054               1.5231               0.2619
    7    -7              -2.3123              -0.2865              -0.0389
    7    -6             -27.4970              -0.0521              -0.0313
