% Magnetic field model coefficients
% nmax:  15
% epoch: 2011.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4912.8059             -30.7792               1.4642
    1     0          -29484.5872              11.3974              -0.0359
    1     1           -1570.8880              15.8153               0.7319
    2    -2            -589.6585             -14.0060              -0.1378
    2    -1           -2734.1435             -25.8268              -0.4073
    2     0           -2407.0167             -10.5387               0.2961
    2     1            3023.1442              -3.0005              -0.1607
    2     2            1669.6947               1.5676               0.0723
    3    -3            -539.3149              -1.8928               1.1489
    3    -2             249.4653              -1.9597               0.5415
    3    -1            -150.6157               9.4281              -0.5094
    3     0            1341.1275               1.8086               0.5770
    3     1           -2330.9033              -4.4451              -0.2572
    3     2            1230.4210              -1.5189               0.2532
    3     3             623.6264             -10.1636              -0.0515
    4    -4            -312.0212              -2.7364              -0.7906
    4    -3             168.2228               3.6650              -0.1500
    4    -2            -207.2908               4.0039               0.4767
    4    -1             286.2834              -0.3211              -0.1436
    4     0             911.0417              -1.4535              -0.0460
    4     1             810.4766               1.2579              -0.3902
    4     2             157.5897              -8.9581              -0.0448
    4     3            -351.9739               4.6838              -0.2638
    4     4              85.9849              -3.5639              -0.2709
    5    -5             100.5128              -0.4284               0.1495
    5    -4               3.4216               3.3656               0.0106
    5    -3            -117.5100               0.3182              -0.5350
    5    -2             190.6008               1.5869               0.0100
    5    -1              45.2807               0.5968              -0.0204
    5     0            -231.5105              -0.5208              -0.0250
    5     1             357.8494               0.5630              -0.0080
    5     2             198.6313              -1.5620               0.1179
    5     3            -141.2894              -0.1752               0.0343
    5     4            -161.9400               1.2587               0.0049
    5     5              -6.6277               1.7587               0.8427
    6    -6              56.6274               1.2175              -0.0678
    6    -5               3.7208               0.7315               0.0703
    6    -4             -66.5578              -0.2286               0.1607
    6    -3              61.0135              -0.5384              -0.0506
    6    -2              41.8876              -2.2386               0.0214
    6    -1             -20.9724              -0.0387               0.1099
    6     0              72.2825              -0.5276              -0.1528
    6     1              68.3966              -0.2390              -0.0378
    6     2              75.4140              -0.5409              -0.0286
    6     3            -139.2740               2.1238               0.0612
    6     4             -24.2086              -1.3427               0.0558
    6     5              13.0583               0.0251               0.1212
    6     6             -76.7329               1.3280               0.0420
    7    -7              -2.8947               0.2822              -0.1997
    7    -6             -27.7633              -0.1062               0.0346
    7    -5               6.2937              -0.7450              -0.0459
    7    -4              24.8002              -0.1624              -0.0200
    7    -3               6.3144              -0.2105               0.0012
    7    -2             -20.8078               0.3697               0.0199
    7    -1             -57.0594               0.7399              -0.0111
    7     0              80.6827               0.2230               0.0010
    7     1             -75.1702              -0.1417               0.0362
    7     2              -5.0270              -0.4393              -0.0134
    7     3              46.6866               1.3863              -0.0162
    7     4              14.1273               0.1497               0.0196
    7     5              10.4619              -0.0963              -0.2040
    7     6               0.7583              -0.8867               0.0106
    7     7               5.2087               0.2928              -0.0426
    8    -8               1.9902               0.3006              -0.0419
    8    -7             -10.3482               0.3681              -0.0252
    8    -6               6.7271              -0.2385               0.0180
    8    -5              16.6972              -0.0240              -0.0462
    8    -4             -16.8468               0.5281               0.0118
    8    -3              12.2718               0.3759              -0.0551
    8    -2             -19.7188               0.3161               0.0466
    8    -1              10.7945              -0.1093              -0.0448
    8     0              24.2106              -0.1777              -0.0413
    8     1               8.2256               0.0653              -0.0063
    8     2             -15.0973              -0.5718               0.0151
    8     3              -5.1826               0.4041              -0.0026
    8     4             -19.7159              -0.3412               0.0410
    8     5              11.9376               0.3243               0.0121
    8     6              11.0722               0.2134              -0.0155
    8     7             -14.4907              -0.4082               0.0175
    8     8              -3.2109               0.3245              -0.0468
    9    -9               7.2223               0.2308               0.0399
    9    -8              -5.6468               0.4325               0.0266
    9    -7               1.9507              -0.1876              -0.0105
    9    -6               7.9853              -0.0054              -0.0083
    9    -5              -7.2263               0.1457              -0.0082
    9    -4              -7.1916              -0.0040               0.0512
    9    -3              12.6947              -0.1203              -0.0963
