% Magnetic field model coefficients
% nmax:  15
% epoch: 2012.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4880.5695             -29.3150               1.4642
    1     0          -29473.6042              11.3614              -0.0359
    1     1           -1554.1829              16.5471               0.7319
    2    -2            -601.4138             -14.1438              -0.1378
    2    -1           -2762.7585             -26.2340              -0.4073
    2     0           -2417.0314             -10.2426               0.2961
    2     1            3021.3059              -3.1612              -0.1607
    2     2            1671.2753               1.6400               0.0723
    3    -3            -540.7143              -0.7439               1.1489
    3    -2             247.3433              -1.4182               0.5415
    3    -1            -140.7147               8.9186              -0.5094
    3     0            1342.2396               2.3855               0.5770
    3     1           -2336.2414              -4.7024              -0.2572
    3     2            1228.7030              -1.2656               0.2532
    3     3             613.0609             -10.2150              -0.0515
    4    -4            -315.4058              -3.5271              -0.7906
    4    -3             171.3934               3.5151              -0.1500
    4    -2            -203.4489               4.4806               0.4767
    4    -1             285.6755              -0.4647              -0.1436
    4     0             910.5802              -1.4994              -0.0460
    4     1             812.0991               0.8678              -0.3902
    4     2             148.0722              -9.0029              -0.0448
    4     3            -347.3111               4.4200              -0.2638
    4     4              82.6175              -3.8347              -0.2709
    5    -5             100.2690              -0.2788               0.1495
    5    -4               6.3151               3.3762               0.0106
    5    -3            -116.9776              -0.2168              -0.5350
    5    -2             192.1445               1.5968               0.0100
    5    -1              45.8041               0.5763              -0.0204
    5     0            -231.7609              -0.5458              -0.0250
    5     1             358.3989               0.5550              -0.0080
    5     2             196.7248              -1.4440               0.1179
    5     3            -141.0626              -0.1408               0.0343
    5     4            -160.9733               1.2635               0.0049
    5     5              -5.6665               2.6014               0.8427
    6    -6              58.5735               1.1497              -0.0678
    6    -5               4.5814               0.8017               0.0703
    6    -4             -66.8494              -0.0680               0.1607
    6    -3              60.5876              -0.5890              -0.0506
    6    -2              39.6863              -2.2172               0.0214
    6    -1             -21.1607               0.0713               0.1099
    6     0              71.7919              -0.6804              -0.1528
    6     1              68.3612              -0.2767              -0.0378
    6     2              74.7681              -0.5695              -0.0286
    6     3            -136.8753               2.1850               0.0612
    6     4             -25.4259              -1.2869               0.0558
    6     5              12.6907               0.1463               0.1212
    6     6             -75.2779               1.3701               0.0420
    7    -7              -2.2437               0.0826              -0.1997
    7    -6             -27.6201              -0.0716               0.0346
    7    -5               5.6798              -0.7909              -0.0459
    7    -4              24.8484              -0.1824              -0.0200
    7    -3               6.1622              -0.2093               0.0012
    7    -2             -20.5777               0.3895               0.0199
    7    -1             -56.2984               0.7288              -0.0111
    7     0              80.7814               0.2240               0.0010
    7     1             -75.5889              -0.1055               0.0362
    7     2              -5.4050              -0.4526              -0.0134
    7     3              47.9445               1.3702              -0.0162
    7     4              14.3922               0.1694               0.0196
    7     5              10.6552              -0.3003              -0.2040
    7     6              -0.1725              -0.8761               0.0106
    7     7               5.7914               0.2502              -0.0426
    8    -8               1.9304               0.2587              -0.0419
    8    -7             -10.0285               0.3429              -0.0252
    8    -6               6.3708              -0.2205               0.0180
    8    -5              16.6239              -0.0702              -0.0462
    8    -4             -16.2795               0.5398               0.0118
    8    -3              12.5461               0.3208              -0.0551
    8    -2             -19.4569               0.3628               0.0466
    8    -1              10.6997              -0.1541              -0.0448
    8     0              24.2989              -0.2189              -0.0413
    8     1               8.4866               0.0590              -0.0063
    8     2             -15.4390              -0.5567               0.0151
    8     3              -4.6079               0.4015              -0.0026
    8     4             -19.9666              -0.3001               0.0410
    8     5              12.2814               0.3363               0.0121
    8     6              11.2335               0.1980              -0.0155
    8     7             -14.8718              -0.3907               0.0175
    8     8              -2.7965               0.2777              -0.0468
    9    -9               7.4786               0.2707               0.0399
    9    -8              -5.2835               0.4590               0.0266
    9    -7               1.6994              -0.1981              -0.0105
    9    -6               7.9092              -0.0138              -0.0083
    9    -5              -7.1610               0.1375              -0.0082
    9    -4              -7.1486               0.0471               0.0512
    9    -3              12.6462              -0.2166              -0.0963
    9    -2              11.1986              -0.1597               0.0149
    9    -1             -20.9072              -0.2662              -0.0415
    9     0               5.4333              -0.0503               0.0024
    9     1               8.9834               0.0024               0.0595
    9     2               3.0297               0.0450               0.0736
    9     3              -4.5303               0.4509               0.0318
    9     4               2.0602              -0.4356               0.0144
    9     5             -12.8590              -0.1858               0.0420
    9     6              -0.5433               0.1628               0.0180
    9     7               8.3762               0.0536               0.0525
    9     8              -8.7138              -0.1918               0.0209
    9     9             -10.2531              -0.1114               0.0052
   10   -10              -8.5241              -0.0451               0.0146
   10    -9              -1.7188               0.1652               0.0316
   10    -8              -2.3960              -0.1525               0.0265
   10    -7              -4.1008              -0.0309               0.0282
   10    -6              -0.8354               0.0699               0.0103
   10    -5              -7.5370              -0.1238               0.0113
   10    -4               4.2927               0.0391               0.0436
   10    -3               4.6672              -0.0005              -0.0111
   10    -2              -0.2680              -0.0259               0.0134
   10    -1               2.9510               0.1047               0.0050
   10     0              -1.8866              -0.0328              -0.0346
   10     1              -6.1677              -0.1156              -0.0284
   10     2               0.7078              -0.1887              -0.0287
   10     3              -0.3271               0.2781              -0.0195
   10     4              -0.3407              -0.0712              -0.0041
   10     5               2.1351              -0.0873               0.0095
   10     6              -0.4979              -0.0775               0.0120
   10     7               2.1418              -0.0216              -0.0042
   10     8               2.8036              -0.1442              -0.0083
   10     9              -1.3195              -0.1582              -0.0089
   10    10              -3.0675              -0.1844              -0.0219
   11   -11              -2.0792              -0.0688               0.0062
   11   -10              -1.9965              -0.0183               0.0091
   11    -9              -2.2763              -0.1003              -0.0012
   11    -8              -1.3214              -0.0486              -0.0058
   11    -7              -2.3974               0.0780               0.0129
   11    -6              -0.2649               0.0092              -0.0109
   11    -5               0.8038              -0.0298               0.0026
   11    -4              -1.4478               0.0982              -0.0062
   11    -3              -0.5501              -0.0427              -0.0252
   11    -2               2.0129              -0.0106              -0.0412
   11    -1               0.2170              -0.1749              -0.0630
   11     0               3.0513               0.0114              -0.0069
   11     1              -1.6341               0.1411               0.0545
   11     2              -2.1795              -0.0146               0.0031
   11     3               1.8368               0.0969               0.0008
   11     4              -0.6152              -0.0398              -0.0054
   11     5               0.6483              -0.0216              -0.0295
   11     6              -0.7477               0.0367               0.0048
   11     7               0.3115              -0.0255              -0.0054
   11     8               1.7671              -0.0320              -0.0033
   11     9               0.0388              -0.0827              -0.0169
   11    10               0.6536              -0.0759              -0.0099
   11    11               3.6380              -0.0753               0.0066
   12   -12               0.7964              -0.0067              -0.0005
   12   -11              -0.1967              -0.0011              -0.0048
   12   -10              -0.8477              -0.0210              -0.0090
   12    -9               0.2611              -0.0121              -0.0023
   12    -8               0.1872               0.0372               0.0008
   12    -7              -0.0433              -0.0098               0.0005
   12    -6               0.6637               0.0239              -0.0072
   12    -5               0.4031              -0.0268              -0.0004
   12    -4              -2.3869               0.0432               0.0005
   12    -3               1.8968               0.0011               0.0250
   12    -2               0.2938               0.0997               0.0249
   12    -1              -1.0432              -0.0114               0.0295
   12     0              -2.0919               0.0108              -0.0005
   12     1              -0.1300              -0.0456              -0.0261
   12     2               0.4369              -0.0217              -0.0200
   12     3               1.1709               0.0401              -0.0093
   12     4              -0.7786              -0.0423               0.0124
   12     5               0.9083              -0.0009              -0.0001
   12     6              -0.0320               0.0432              -0.0005
   12     7               0.5522              -0.0056              -0.0083
   12     8              -0.4023               0.0095               0.0039
   12     9              -0.3710              -0.0282              -0.0106
   12    10               0.2330               0.0006              -0.0086
   12    11              -0.8571              -0.0330               0.0088
   12    12               0.0005               0.0046               0.0017
   13   -13              -0.7268               0.0001              -0.0091
   13   -12              -0.5048               0.0117               0.0042
   13   -11              -0.2707              -0.0039               0.0011
   13   -10               0.4640               0.0029              -0.0021
   13    -9               0.4737              -0.0001               0.0024
   13    -8               0.0384              -0.0215               0.0041
   13    -7               0.4867              -0.0221              -0.0025
   13    -6              -0.1014              -0.0080               0.0066
   13    -5              -1.1994              -0.0166               0.0062
   13    -4              -0.5796               0.0100               0.0055
   13    -3               1.6855              -0.0560              -0.0189
   13    -2               0.4913              -0.0372              -0.0256
   13    -1              -0.7849              -0.0746              -0.0178
   13     0              -0.0101              -0.0181              -0.0243
   13     1              -1.0051               0.0705               0.0363
   13     2               0.3302               0.0194               0.0027
   13     3               0.5445               0.0267              -0.0109
   13     4              -0.4546               0.0203               0.0055
   13     5               1.0575              -0.0314              -0.0080
   13     6              -0.2806               0.0343               0.0106
   13     7               0.7967               0.0042               0.0001
   13     8              -0.1306               0.0058              -0.0064
   13     9               0.3774               0.0021              -0.0036
   13    10               0.0235               0.0112               0.0038
   13    11               0.4230               0.0131               0.0050
   13    12              -0.2901              -0.0304              -0.0015
   13    13              -0.3232              -0.0040               0.0081
   14   -14              -0.3682              -0.0261              -0.0125
   14   -13              -0.2730              -0.0118              -0.0012
   14   -12               0.0362              -0.0270              -0.0069
   14   -11               0.1804               0.0026              -0.0067
   14   -10               0.0992              -0.0117               0.0003
   14    -9               0.3721               0.0095               0.0024
   14    -8               0.1198              -0.0062               0.0046
   14    -7               0.3268               0.0129               0.0067
   14    -6               0.3281              -0.0024               0.0024
   14    -5              -0.0712              -0.0080              -0.0043
   14    -4               0.4570              -0.0038              -0.0044
   14    -3               0.3932               0.0278               0.0057
   14    -2              -0.7264               0.0718               0.0326
   14    -1               0.3471               0.0169               0.0159
   14     0              -0.3281              -0.0014              -0.0049
   14     1               0.3304              -0.0042              -0.0050
   14     2              -0.2731              -0.0146               0.0061
   14     3              -0.1787               0.0381               0.0145
   14     4              -0.1139               0.0194               0.0052
   14     5               0.2148               0.0065               0.0015
   14     6              -0.0203               0.0036              -0.0019
   14     7              -0.1395               0.0029              -0.0012
   14     8               0.2898               0.0144               0.0031
   14     9               0.0283               0.0043              -0.0032
   14    10               0.6850              -0.0014              -0.0005
   14    11              -0.3004               0.0019              -0.0030
   14    12               0.3126               0.0149               0.0046
   14    13               0.2422              -0.0103              -0.0048
   14    14              -0.0548              -0.0139               0.0016
   15   -15              -0.0338              -0.0206              -0.0093
   15   -14              -0.0880               0.0217               0.0139
   15   -13               0.1313              -0.0223              -0.0057
   15   -12              -0.3075               0.0316               0.0108
   15   -11              -0.1335               0.0068               0.0034
   15   -10               0.0035               0.0112               0.0042
   15    -9               0.1190              -0.0030              -0.0014
   15    -8              -0.1653               0.0034              -0.0025
   15    -7               0.2954               0.0030              -0.0022
   15    -6               0.1139              -0.0001              -0.0014
   15    -5               0.0184               0.0038               0.0042
   15    -4               0.0258              -0.0016               0.0033
   15    -3               0.2429              -0.0198              -0.0087
   15    -2               0.0889              -0.0312              -0.0189
   15    -1               0.6583              -0.0071              -0.0073
   15     0               0.2293              -0.0616              -0.0227
   15     1               0.4366               0.0418               0.0151
   15     2               0.0700              -0.0224              -0.0075
   15     3               0.4395              -0.0185              -0.0102
