% Magnetic field model coefficients
% nmax:  15
% epoch: 2014.0000
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4822.3274             -24.0780              -3.3840
    1     0          -29451.1558               8.7640              -0.6850
    1     1           -1517.9889              19.0908              -2.8142
    2    -2            -627.5798             -14.1533              -1.0760
    2    -1           -2818.7073             -26.7212              -0.5972
    2     0           -2435.8476             -11.6905               2.0147
    2     1            3015.6636              -3.1870              -0.9646
    2     2            1674.6746               2.0784              -0.5179
    3    -3            -539.9348               2.1273              -1.7482
    3    -2             245.1595              -0.0959               0.0519
    3    -1            -123.4338               8.2123              -0.2620
    3     0            1347.1740               3.4446              -0.4696
    3     1           -2347.1710              -5.5902               0.1019
    3     2            1226.2534              -1.2556               1.4224
    3     3             592.1692             -10.2687              -0.3538
    4    -4            -324.2415              -5.4372               0.8525
    4    -3             177.7476               2.9250               0.4944
    4    -2            -193.9428               5.0755               0.4674
    4    -1             284.4322              -1.2469               0.5258
    4     0             908.8158              -2.8019               1.9597
    4     1             813.7903               0.2475              -0.1532
    4     2             129.3705              -9.1318               0.4801
    4     3            -338.8965               3.7178               0.6044
    4     4              74.7391              -4.3850              -0.0163
    5    -5             100.0166               0.3909              -0.4985
    5    -4              12.5510               3.5375              -0.1190
    5    -3            -117.8868              -1.6994               0.7169
    5    -2             195.3353               1.5974               0.2706
    5    -1              46.7286               0.4008              -0.2319
    5     0            -232.8298               0.4134              -0.9676
    5     1             359.2669               0.7975              -0.2457
    5     2             193.6414              -1.3389               0.0347
    5     3            -140.7769              -0.1739               0.0631
    5     4            -158.7626               1.3838              -0.0109
    5     5              -0.0136               4.5799              -0.5493
    6    -6              61.6233               0.8019               0.0401
    6    -5               6.3817               1.0880              -0.2149
    6    -4             -66.7521               0.1612              -0.0663
    6    -3              59.4507              -0.5937              -0.2556
    6    -2              35.2142              -2.1289               0.1395
    6    -1             -20.9307              -0.0222               0.4549
    6     0              70.3922              -1.2561               0.3468
    6     1              68.1202              -0.4669               0.1446
    6     2              73.3987              -0.5829               0.0648
    6     3            -132.1762               2.4734              -0.3053
    6     4             -27.7750              -1.1436              -0.0637
    6     5              12.7502               0.4650              -0.1341
    6     6             -72.2975               1.2612               0.2619
    7    -7              -2.0453              -0.2475              -0.0389
    7    -6             -27.4605              -0.0209              -0.0313
    7    -5               4.1131              -0.7312              -0.1975
    7    -4              24.6106              -0.0798              -0.1171
    7    -3               5.7640              -0.1106              -0.1817
    7    -2             -19.9151               0.4399               0.1012
    7    -1             -54.8367               0.6338               0.0068
    7     0              81.1347               0.5491              -0.6172
    7     1             -76.0135              -0.0293              -0.1081
    7     2              -6.2075              -0.7496               0.3074
    7     3              50.5929               1.3295              -0.0722
    7     4              14.8865               0.2181              -0.0359
    7     5              10.0184              -0.6366              -0.0763
    7     6              -1.9814              -0.8380              -0.0833
    7     7               6.4901               0.1252               0.0044
    8    -8               2.0022               0.1709               0.0807
    8    -7              -9.4346               0.2794               0.0907
    8    -6               5.9020              -0.3300               0.1278
    8    -5              16.3912              -0.2128              -0.0134
    8    -4             -15.1095               0.4577               0.1365
    8    -3              13.0689               0.1391              -0.0622
    8    -2             -18.7796               0.5937              -0.1493
    8    -1              10.3784              -0.4262               0.1117
    8     0              24.1524              -0.4382               0.3086
    8     1               8.8548              -0.0327               0.1689
    8     2             -16.4565              -0.4166               0.1266
    8     3              -3.7398               0.5856              -0.0754
    8     4             -20.4171              -0.1990               0.0223
    8     5              13.0270               0.2697               0.0578
    8     6              11.5850               0.0915               0.1351
    8     7             -15.5551              -0.4803               0.1059
    8     8              -2.2518               0.2840              -0.0412
    9    -9               8.1178               0.3094               0.0000
    9    -8              -4.3683               0.4785               0.0000
    9    -7               1.2056              -0.1700               0.0000
    9    -6               7.7482               0.0356               0.0000
    9    -5              -6.9990               0.1196               0.0000
    9    -4              -6.9938               0.2295               0.0000
    9    -3              12.0690              -0.3610               0.0000
    9    -2              10.8791              -0.0528               0.0000
    9    -1             -21.3105              -0.3757               0.0000
    9     0               5.3565              -0.0487               0.0000
    9     1               8.8403              -0.0503               0.0000
    9     2               3.0343               0.0401               0.0000
    9     3              -3.5849               0.4220               0.0000
    9     4               1.0806              -0.4158               0.0000
    9     5             -13.2187              -0.0037               0.0000
    9     6              -0.2742               0.1677               0.0000
    9     7               8.5455               0.1204               0.0000
    9     8              -8.9559              -0.1131               0.0000
    9     9             -10.4276              -0.1038               0.0000
   10   -10              -8.6289              -0.0720               0.0000
   10    -9              -1.3459               0.2181               0.0000
   10    -8              -2.6789              -0.1722               0.0000
   10    -7              -4.1344              -0.0185               0.0000
   10    -6              -0.6596               0.0484               0.0000
   10    -5              -7.7657              -0.1251               0.0000
