% Magnetic field model coefficients
% nmax:  65
% epoch: 2015.6400
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4778.2817             -29.1435              -2.3930
    1     0          -29437.3928               8.6341               0.5558
    1     1           -1490.4730              13.7525              -4.1899
    2    -2            -652.2537             -15.4866              -0.4063
    2    -1           -2863.1356             -27.8069              -0.9184
    2     0           -2452.5492             -10.0276              -0.9163
    2     1            3009.1386              -4.6478              -0.7468
    2     2            1677.5315               1.5297              -0.1343
    3    -3            -538.7496              -0.6688              -1.6367
    3    -2             245.1028              -0.1062              -0.2325
    3    -1            -110.3815               7.5347              -0.5748
    3     0            1352.5495               3.2217              -0.2854
    3     1           -2356.1507              -5.2572               0.2737
    3     2            1226.0257               0.7675               0.9575
    3     3             574.8485             -10.7375              -0.0639
    4    -4            -332.0325              -4.1165               0.7841
    4    -3             183.1928               3.6654               0.3376
    4    -2            -184.9326               5.7013               0.0718
    4    -1             283.2111              -0.5620               0.2170
    4     0             906.7280              -0.7163              -0.1402
    4     1             813.9256              -0.2130              -0.4557
    4     2             115.1277              -8.1441               0.8219
    4     3            -331.9865               4.6500               0.4480
    4     4              67.5133              -4.3566               0.1085
    5    -5              99.9963              -0.3097              -0.2941
    5    -4              18.2020               3.3083              -0.1152
    5    -3            -119.6754              -0.5877               0.5862
    5    -2             198.3312               1.9688               0.2033
    5    -1              47.0609               0.0946              -0.0008
    5     0            -233.3354              -0.3323              -0.0868
    5     1             360.2491               0.6360              -0.0232
    5     2             191.4185              -1.2033               0.2887
    5     3            -140.9900              -0.0904               0.0718
    5     4            -156.4983               1.3109              -0.1239
    5     5               6.7747               3.4470              -1.0067
    6    -6              62.9971               1.0004               0.2021
    6    -5               7.8700               0.6909              -0.2868
    6    -4             -66.5815               0.1200               0.0893
    6    -3              58.0656              -0.9521              -0.1651
    6    -2              31.9399              -1.7436               0.2322
    6    -1             -20.3131               0.5077               0.1361
    6     0              68.7641              -0.7946              -0.1075
    6     1              67.4984              -0.3683               0.0448
    6     2              72.6457              -0.4038               0.2406
    6     3            -128.5206               2.0383              -0.2785
    6     4             -29.7470              -1.2914              -0.1136
    6     5              13.3507               0.2827              -0.0895
    6     6             -69.8895               1.5784               0.1014
    7    -7              -2.5239              -0.2038               0.1519
    7    -6             -27.5584              -0.0500               0.0468
    7    -5               2.6563              -0.9909              -0.0957
    7    -4              24.3194              -0.2155              -0.0427
    7    -3               5.3800              -0.4324              -0.2602
    7    -2             -19.0699               0.5258               0.0274
    7    -1             -53.8208               0.5988              -0.0500
    7     0              81.2665              -0.0779              -0.1030
    7     1             -76.2281              -0.1446              -0.1107
    7     2              -7.1357              -0.4901               0.0466
    7     3              52.6560               1.1698              -0.0727
    7     4              15.2184               0.1633              -0.0942
    7     5               8.8738              -0.6958               0.0173
    7     6              -3.4530              -0.9621              -0.0279
    7     7               6.6619               0.2035               0.2142
    8    -8               2.3946               0.2306              -0.0320
    8    -7              -8.8366               0.4000               0.0332
    8    -6               5.5424              -0.2446              -0.1078
    8    -5              16.0146              -0.2295               0.0115
    8    -4             -14.1952               0.5879               0.0423
    8    -3              13.1891               0.0076              -0.1063
    8    -2             -17.9391               0.5032              -0.0307
    8    -1               9.8492              -0.2724               0.1415
    8     0              23.8191              -0.0112               0.0339
    8     1               8.9795               0.2393               0.1494
    8     2             -16.9015              -0.1823               0.1349
    8     3              -2.8140               0.5644              -0.0429
    8     4             -20.7267              -0.1600              -0.0006
    8     5              13.5393               0.3452               0.0607
    8     6              11.9091               0.2933               0.0976
    8     7             -16.1938              -0.2970               0.1188
    8     8              -1.8510               0.2434               0.0606
    9    -9               8.6507               0.2763              -0.0417
    9    -8              -3.5685               0.4793              -0.0133
    9    -7               0.9187              -0.1351               0.0654
    9    -6               7.8109               0.0293               0.0124
    9    -5              -6.7978               0.1175               0.0190
    9    -4              -6.5987               0.2452               0.0088
    9    -3              11.4984              -0.3353               0.0004
    9    -2              10.7576               0.0043               0.1046
    9    -1             -21.9640              -0.3920              -0.0498
    9     0               5.2972              -0.0503               0.0416
    9     1               8.7339              -0.1874              -0.1427
    9     2               3.0609              -0.0875              -0.1009
    9     3              -2.9361               0.3969               0.0471
    9     4               0.3948              -0.3935               0.0248
    9     5             -13.2258               0.0107              -0.0002
    9     6               0.0105               0.2004               0.0550
    9     7               8.7507               0.0930              -0.0357
    9     8              -9.1675              -0.0799               0.0521
    9     9             -10.5912              -0.1462              -0.0816
   10   -10              -8.7295              -0.0693               0.0470
   10    -9              -0.9778               0.2153              -0.0158
   10    -8              -2.9679              -0.1713               0.0226
   10    -7              -4.1571              -0.0300              -0.0117
   10    -6              -0.5626               0.0812               0.0291
   10    -5              -7.9897              -0.1301               0.0186
   10    -4               4.4474               0.0734               0.0476
   10    -3               4.4107              -0.1775              -0.0931
