% Magnetic field model coefficients
% nmax:  65
% epoch: 2015.5900
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
   11    10               0.4060              -0.0664               0.0323
   11    11               3.4252              -0.0634              -0.0025
   12   -12               0.7327              -0.0299              -0.0339
   12   -11              -0.1370               0.0198              -0.0210
   12   -10              -0.8881              -0.0295               0.0090
   12    -9               0.2261              -0.0287               0.0062
   12    -8               0.3219               0.0473               0.0052
   12    -7              -0.0945              -0.0222               0.0066
   12    -6               0.7096               0.0123               0.0046
   12    -5               0.2658              -0.0475               0.0115
   12    -4              -2.1682               0.0806               0.0291
   12    -3               1.6938              -0.1123              -0.0340
   12    -2               0.5278              -0.0369              -0.0718
   12    -1              -1.2134              -0.0290               0.2286
   12     0              -2.0579               0.0308               0.1533
   12     1              -0.2423               0.0586               0.0943
   12     2               0.4873               0.0787               0.1180
   12     3               1.3159              -0.0003               0.0130
   12     4              -0.9590              -0.0675              -0.0079
   12     5               0.8462              -0.0260               0.0098
   12     6               0.1487               0.0434              -0.0258
   12     7               0.5431              -0.0013              -0.0178
   12     8              -0.3502               0.0068               0.0019
   12     9              -0.4579              -0.0090               0.0067
   12    10               0.2007              -0.0184               0.0315
   12    11              -0.9797              -0.0576               0.0464
   12    12              -0.0586              -0.0244               0.0280
   13   -13              -0.6404               0.0431              -0.1175
   13   -12              -0.4182               0.0099               0.0158
   13   -11              -0.3177              -0.0287               0.0246
   13   -10               0.4894               0.0057              -0.0052
   13    -9               0.4728               0.0042               0.0039
   13    -8              -0.0475              -0.0206               0.0197
   13    -7               0.4044              -0.0295              -0.0190
   13    -6              -0.0945               0.0062               0.0185
   13    -5              -1.2612              -0.0189               0.0495
   13    -4              -0.4588               0.0316              -0.0323
   13    -3               1.5460              -0.0058               0.0370
   13    -2               0.4355               0.0386               0.0477
   13    -1              -0.9915              -0.0673               0.1408
   13     0              -0.0419               0.0027              -0.0480
   13     1              -0.8795              -0.0538              -0.1168
   13     2               0.4119              -0.0209              -0.1750
   13     3               0.5437               0.0130               0.0311
   13     4              -0.4030               0.0284              -0.0434
   13     5               0.9654              -0.0310              -0.0411
   13     6              -0.1739               0.0317               0.0243
   13     7               0.8307               0.0054              -0.0186
   13     8              -0.1300               0.0011               0.0113
   13     9               0.3864               0.0204              -0.0090
   13    10               0.0777               0.0167               0.0155
   13    11               0.4618               0.0218              -0.0053
   13    12              -0.3614              -0.0259              -0.0270
   13    13              -0.3639               0.0032              -0.0049
   14   -14              -0.3574               0.0617              -0.0801
   14   -13              -0.2865              -0.0260              -0.0055
   14   -12              -0.0408              -0.0280              -0.0232
   14   -11               0.2193               0.0252              -0.0118
   14   -10               0.0386              -0.0378              -0.0051
   14    -9               0.3891              -0.0022              -0.0005
   14    -8               0.0642              -0.0239               0.0136
   14    -7               0.3734               0.0157               0.0043
   14    -6               0.3248              -0.0012               0.0031
   14    -5              -0.0796              -0.0072              -0.0071
   14    -4               0.4445               0.0336              -0.0097
   14    -3               0.3825              -0.0187              -0.0318
   14    -2              -0.5367              -0.0242              -0.0532
   14    -1               0.1980              -0.0067               0.2281
   14     0              -0.2422               0.0250              -0.0487
   14     1               0.2794               0.0094               0.0803
   14     2              -0.2601               0.0445               0.0954
   14     3              -0.0302              -0.0127               0.0359
   14     4              -0.0985               0.0108               0.0063
   14     5               0.2294               0.0085              -0.0009
   14     6               0.0286               0.0031              -0.0397
   14     7              -0.1213               0.0075              -0.0195
   14     8               0.3100               0.0054               0.0055
   14     9               0.0451               0.0128               0.0089
   14    10               0.6733              -0.0163               0.0153
   14    11              -0.2816              -0.0009               0.0262
   14    12               0.3412               0.0235               0.0086
   14    13               0.2081               0.0005              -0.0251
   14    14              -0.0463              -0.0248              -0.1162
   15   -15              -0.0834               0.0280               0.0792
   15   -14              -0.0876              -0.0053               0.0431
   15   -13               0.0864               0.0064              -0.0359
   15   -12              -0.2490              -0.0064               0.0048
   15   -11              -0.1627              -0.0202               0.0261
   15   -10               0.0392              -0.0059              -0.0166
   15    -9               0.1270               0.0059              -0.0095
   15    -8              -0.1665              -0.0058               0.0220
   15    -7               0.2927              -0.0090              -0.0213
   15    -6               0.1069               0.0049               0.0492
   15    -5               0.0382               0.0151               0.0427
   15    -4               0.1147               0.0071              -0.0160
   15    -3               0.2834               0.0097               0.0256
   15    -2               0.0133               0.0038               0.0524
   15    -1               0.4841              -0.0382               0.2415
   15     0               0.1693              -0.0074              -0.1144
   15     1               0.5034              -0.0484              -0.1280
   15     2               0.0039              -0.0318              -0.1090
   15     3               0.2944              -0.0137               0.0226
   15     4              -0.1890              -0.0105              -0.0396
   15     5               0.1599               0.0030              -0.0485
   15     6              -0.0978               0.0103               0.0180
   15     7              -0.0806               0.0097              -0.0030
   15     8               0.0959              -0.0149              -0.0014
   15     9              -0.2792               0.0106               0.0112
   15    10              -0.1805               0.0056               0.0192
   15    11               0.2113               0.0044               0.0053
   15    12              -0.0302               0.0124               0.0043
   15    13              -0.0326               0.0054              -0.0059
   15    14               0.1172              -0.0090               0.0142
   15    15              -0.3861              -0.0060               0.0093
   16   -16              -0.0298               0.0000               0.0000
   16   -15              -0.0025               0.0000               0.0000
   16   -14               0.1875               0.0000               0.0000
   16   -13              -0.1174               0.0000               0.0000
   16   -12              -0.1177               0.0000               0.0000
   16   -11              -0.0269               0.0000               0.0000
   16   -10              -0.1064               0.0000               0.0000
   16    -9               0.0292               0.0000               0.0000
   16    -8               0.0158               0.0000               0.0000
   16    -7              -0.0780               0.0000               0.0000
   16    -6              -0.0317               0.0000               0.0000
   16    -5              -0.1437               0.0000               0.0000
   16    -4              -0.1357               0.0000               0.0000
   16    -3               0.3061               0.0000               0.0000
   16    -2               0.1360               0.0000               0.0000
   16    -1               0.2033               0.0000               0.0000
   16     0              -0.0877               0.0000               0.0000
   16     1               0.1629               0.0000               0.0000
   16     2              -0.3775               0.0000               0.0000
   16     3               0.1901               0.0000               0.0000
   16     4              -0.0120               0.0000               0.0000
   16     5              -0.0017               0.0000               0.0000
   16     6               0.0678               0.0000               0.0000
   16     7              -0.0150               0.0000               0.0000
   16     8               0.1984               0.0000               0.0000
   16     9              -0.2067               0.0000               0.0000
   16    10               0.2097               0.0000               0.0000
   16    11               0.2173               0.0000               0.0000
   16    12              -0.0318               0.0000               0.0000
   16    13              -0.1389               0.0000               0.0000
   16    14              -0.0111               0.0000               0.0000
   16    15              -0.0489               0.0000               0.0000
   16    16              -0.1214               0.0000               0.0000
   17   -17               0.0384               0.0000               0.0000
   17   -16              -0.3395               0.0000               0.0000
   17   -15               0.0726               0.0000               0.0000
   17   -14              -0.0437               0.0000               0.0000
   17   -13              -0.0425               0.0000               0.0000
   17   -12               0.1051               0.0000               0.0000
   17   -11               0.1166               0.0000               0.0000
   17   -10              -0.0458               0.0000               0.0000
   17    -9              -0.0457               0.0000               0.0000
   17    -8               0.0182               0.0000               0.0000
   17    -7              -0.2960               0.0000               0.0000
   17    -6              -0.0244               0.0000               0.0000
   17    -5              -0.2360               0.0000               0.0000
   17    -4              -0.0426               0.0000               0.0000
   17    -3               0.0048               0.0000               0.0000
   17    -2              -0.2109               0.0000               0.0000
   17    -1               0.1454               0.0000               0.0000
   17     0               0.0153               0.0000               0.0000
   17     1              -0.0078               0.0000               0.0000
   17     2              -0.0570               0.0000               0.0000
   17     3               0.2972               0.0000               0.0000
   17     4               0.2186               0.0000               0.0000
   17     5               0.0374               0.0000               0.0000
   17     6               0.0358               0.0000               0.0000
   17     7              -0.0399               0.0000               0.0000
   17     8               0.1414               0.0000               0.0000
   17     9               0.0983               0.0000               0.0000
   17    10               0.0090               0.0000               0.0000
   17    11              -0.1401               0.0000               0.0000
   17    12              -0.1254               0.0000               0.0000
   17    13               0.0027               0.0000               0.0000
   17    14              -0.0088               0.0000               0.0000
   17    15               0.0447               0.0000               0.0000
   17    16               0.0142               0.0000               0.0000
   17    17              -0.1627               0.0000               0.0000
   18   -18               0.0928               0.0000               0.0000
   18   -17              -0.0577               0.0000               0.0000
   18   -16               0.0603               0.0000               0.0000
   18   -15              -0.0334               0.0000               0.0000
   18   -14               0.1372               0.0000               0.0000
   18   -13              -0.0682               0.0000               0.0000
   18   -12              -0.1225               0.0000               0.0000
   18   -11               0.1180               0.0000               0.0000
   18   -10               0.1561               0.0000               0.0000
   18    -9              -0.1282               0.0000               0.0000
   18    -8              -0.1163               0.0000               0.0000
   18    -7              -0.2096               0.0000               0.0000
   18    -6               0.0868               0.0000               0.0000
   18    -5              -0.0908               0.0000               0.0000
   18    -4               0.0811               0.0000               0.0000
   18    -3              -0.0155               0.0000               0.0000
   18    -2               0.0682               0.0000               0.0000
   18    -1               0.0753               0.0000               0.0000
   18     0               0.1851               0.0000               0.0000
   18     1               0.1595               0.0000               0.0000
   18     2              -0.0377               0.0000               0.0000
   18     3               0.1458               0.0000               0.0000
   18     4               0.0025               0.0000               0.0000
   18     5               0.0826               0.0000               0.0000
   18     6               0.1558               0.0000               0.0000
   18     7              -0.0473               0.0000               0.0000
   18     8               0.0374               0.0000               0.0000
   18     9              -0.0511               0.0000               0.0000
   18    10               0.1225               0.0000               0.0000
   18    11              -0.0080               0.0000               0.0000
   18    12              -0.0407               0.0000               0.0000
   18    13              -0.0159               0.0000               0.0000
   18    14               0.0222               0.0000               0.0000
   18    15               0.0074               0.0000               0.0000
   18    16              -0.0117               0.0000               0.0000
   18    17               0.1121               0.0000               0.0000
   18    18              -0.0190               0.0000               0.0000
   19   -19              -0.0355               0.0000               0.0000
   19   -18              -0.0830               0.0000               0.0000
   19   -17               0.0072               0.0000               0.0000
   19   -16              -0.0257               0.0000               0.0000
   19   -15               0.0854               0.0000               0.0000
   19   -14              -0.1353               0.0000               0.0000
   19   -13               0.0642               0.0000               0.0000
   19   -12               0.0119               0.0000               0.0000
   19   -11               0.1722               0.0000               0.0000
   19   -10               0.0970               0.0000               0.0000
   19    -9              -0.0352               0.0000               0.0000
   19    -8              -0.0274               0.0000               0.0000
   19    -7              -0.1533               0.0000               0.0000
   19    -6              -0.0117               0.0000               0.0000
   19    -5              -0.3593               0.0000               0.0000
   19    -4               0.0613               0.0000               0.0000
   19    -3              -0.0424               0.0000               0.0000
   19    -2               0.0191               0.0000               0.0000
   19    -1               0.0696               0.0000               0.0000
   19     0               0.0517               0.0000               0.0000
   19     1               0.4378               0.0000               0.0000
   19     2              -0.0658               0.0000               0.0000
   19     3               0.1557               0.0000               0.0000
   19     4               0.0639               0.0000               0.0000
   19     5               0.0620               0.0000               0.0000
   19     6              -0.0144               0.0000               0.0000
   19     7               0.1257               0.0000               0.0000
   19     8              -0.0078               0.0000               0.0000
   19     9               0.0951               0.0000               0.0000
   19    10              -0.0698               0.0000               0.0000
   19    11               0.0358               0.0000               0.0000
   19    12              -0.0979               0.0000               0.0000
   19    13              -0.0024               0.0000               0.0000
   19    14               0.0745               0.0000               0.0000
   19    15               0.1162               0.0000               0.0000
   19    16               0.0549               0.0000               0.0000
   19    17              -0.0138               0.0000               0.0000
   19    18               0.0752               0.0000               0.0000
   19    19              -0.0199               0.0000               0.0000
   20   -20              -0.0864               0.0000               0.0000
   20   -19               0.0221               0.0000               0.0000
   20   -18               0.1459               0.0000               0.0000
   20   -17               0.0404               0.0000               0.0000
   20   -16               0.0743               0.0000               0.0000
   20   -15               0.0325               0.0000               0.0000
   20   -14              -0.1528               0.0000               0.0000
   20   -13               0.0148               0.0000               0.0000
   20   -12               0.0105               0.0000               0.0000
   20   -11               0.0310               0.0000               0.0000
   20   -10              -0.0605               0.0000               0.0000
   20    -9              -0.1674               0.0000               0.0000
   20    -8              -0.1657               0.0000               0.0000
   20    -7               0.1390               0.0000               0.0000
   20    -6               0.0791               0.0000               0.0000
   20    -5               0.0294               0.0000               0.0000
   20    -4              -0.2553               0.0000               0.0000
   20    -3               0.1402               0.0000               0.0000
   20    -2               0.1869               0.0000               0.0000
   20    -1               0.1814               0.0000               0.0000
   20     0              -0.0479               0.0000               0.0000
   20     1               0.2573               0.0000               0.0000
   20     2              -0.0924               0.0000               0.0000
   20     3               0.0859               0.0000               0.0000
