% Magnetic field model coefficients
% nmax:  30
% epoch: 2014.3500
% radius: 6371.2
%   n     m          MF gnm (nT)     SV gnm (nT/year)   SA gnm (nT/year^2)
    1    -1            4813.4414             -26.4863               0.0000
    1     0          -29447.4426              10.5408               0.0000
    1     1           -1512.7972              17.8712               0.0000
    2    -2            -632.7003             -14.4723               0.0000
    2    -1           -2828.0818             -26.8425               0.0000
    2     0           -2439.9476              -9.9351               0.0000
    2     1            3014.6737              -3.6911               0.0000
    2     2            1675.2861               1.7364               0.0000
    3    -3            -539.4514               1.4709               0.0000
    3    -2             245.0379              -0.2536               0.0000
    3    -1            -120.3820               7.9842               0.0000
    3     0            1348.3883               3.4566               0.0000
    3     1           -2348.7474              -5.3098               0.0000
    3     2            1226.0884              -0.6558               0.0000
    3     3             588.5302             -10.4406               0.0000
    4    -4            -326.0719              -5.0032               0.0000
    4    -3             178.8393               3.2463               0.0000
    4    -2            -192.0215               5.4349               0.0000
    4    -1             283.9846              -0.7288               0.0000
    4     0             907.9408              -1.6230               0.0000
    4     1             813.6277               0.1217               0.0000
    4     2             126.2511              -9.0333               0.0000
    4     3            -337.5179               3.9897               0.0000
    4     4              73.2064              -4.4082               0.0000
    5    -5             100.1319               0.0431               0.0000
    5    -4              13.7914               3.3813               0.0000
    5    -3            -118.4402              -1.2202               0.0000
    5    -2             195.8870               1.6751               0.0000
    5    -1              47.0560               0.3555               0.0000
    5     0            -232.8545              -0.3228               0.0000
    5     1             359.6566               0.5688               0.0000
    5     2             193.2550              -1.2795               0.0000
    5     3            -140.9050              -0.0846               0.0000
    5     4            -158.2795               1.3359               0.0000
    5     5               1.5094               4.3143               0.0000
    6    -6              61.8586               0.9753               0.0000
    6    -5               6.7427               0.9560               0.0000
    6    -4             -66.7323               0.2248               0.0000
    6    -3              59.2075              -0.6869               0.0000
    6    -2              34.5620              -2.0792               0.0000
    6    -1             -20.8942               0.3459               0.0000
    6     0              69.8954              -1.0995               0.0000
    6     1              67.8285              -0.3491               0.0000
    6     2              73.2632              -0.6444               0.0000
    6     3            -131.3210               2.3361               0.0000
    6     4             -28.1903              -1.1754               0.0000
    6     5              12.8936               0.3655               0.0000
    6     6             -71.8425               1.4532               0.0000
    7    -7              -2.1151              -0.2573               0.0000
